"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49NHC","B02",0,"True",0,0,0,0,1,0,"49NHC_original","2020"
"35VML","B02",0,"True",0,0,0,0,1,0,"35VML_original","2020"
"34UFD","B02",0,"True",0,0,0,0,1,0,"34UFD_original","2020"
"33NTG","B02",0,"True",0,0,0,0,1,0,"33NTG_original","2020"
"32UQU","B02",0,"True",0,0,0,0,1,0,"32UQU_original","2020"
"32TMT","B02",0,"True",0,0,0,0,1,0,"32TMT_original","2020"
"32TMT","B02",0.05,"False",0.247938123792613,0.639345982799141,2.87179927140161,6.25526899536548,0.99524768199755,0.973967066957201,"32TMT_B02_05_I","2020"
"32UQU","B02",0.05,"False",1.43840982789036,1.51912037799248,19.6309753265985,23.8360594958943,0.985159030269407,1.52259003232676,"32UQU_B02_05_I","2020"
"33NTG","B02",0.05,"False",2.5117811506882,2.55013885540773,25.6207662349359,28.1384188922043,0.993225398512731,1.88480674914188,"33NTG_B02_05_I","2020"
"34UFD","B02",0.05,"False",-0.184628993663734,1.12962006401195,-1.79316647222545,30.9001044054508,0.910242054263279,1.78534190397984,"34UFD_B02_05_I","2020"
"35VML","B02",0.05,"False",1.74295650565176,1.90182028041299,55.6180515355802,61.6197260102912,0.640936133916795,1.59379279946878,"35VML_B02_05_I","2020"
"49NHC","B02",0.05,"False",3.90047849133932,4.29764370620739,9.67371446874943,10.9959872390649,0.868622646033165,3.354096875437,"49NHC_B02_05_I","2020"
"32TMT","B03",0.05,"False",0.35700212960817,0.752838392568267,1.93303815136644,6.65127962768448,0.994474420483272,1.11432808488002,"32TMT_B03_05_I","2020"
"32UQU","B03",0.05,"False",1.23086923267449,1.3527722166155,16.0811385082201,21.8965967725072,0.984292627611758,1.59564103699106,"32UQU_B03_05_I","2020"
"33NTG","B03",0.05,"False",-0.825138150923371,1.15458296914169,-6.47832404875181,20.0904438871518,0.996012890935063,1.33022155901093,"33NTG_B03_05_I","2020"
"34UFD","B03",0.05,"False",0.400867145134669,1.16456018932788,5.63852803266635,31.0863090100637,0.936254666516867,1.70459553974716,"34UFD_B03_05_I","2020"
"35VML","B03",0.05,"False",1.38053222476191,1.69423373813485,42.3661723860493,61.0605545372638,0.693036940367456,1.59861668670827,"35VML_B03_05_I","2020"
"49NHC","B03",0.05,"False",-0.17758907974275,1.63880604967528,-0.2564780505041,4.62321322342602,0.932239072021302,2.32741056361371,"49NHC_B03_05_I","2020"
"32TMT","B04",0.05,"False",-0.0861369942981,0.635195781479755,0.240312330337519,5.97523451702494,0.994042130577533,1.09369413918111,"32TMT_B04_05_I","2020"
"32UQU","B04",0.05,"False",0.833498498641895,1.14938702589088,12.9096430571936,21.4163759355914,0.982774693918464,1.53360595027206,"32UQU_B04_05_I","2020"
"33NTG","B04",0.05,"False",1.99297648646742,2.32628762139997,7.11904810450104,25.0700598983,0.993696937212101,2.27203246254405,"33NTG_B04_05_I","2020"
"34UFD","B04",0.05,"False",0.678380978076196,1.01119439321443,5.21375943912044,24.4709690487898,0.973225659893238,1.45203041138563,"34UFD_B04_05_I","2020"
"35VML","B04",0.05,"False",-0.10393435947555,0.391392083021505,-6.69390911317064,17.916230409274,0.938456656770554,0.660674465972292,"35VML_B04_05_I","2020"
"49NHC","B04",0.05,"False",0.994726696791781,1.73078979596152,2.62651085564185,4.77848431284313,0.939853770641331,2.21384855982086,"49NHC_B04_05_I","2020"
"32TMT","B08",0.05,"False",0.410966957367461,0.84753095829166,3.10580264077237,7.37383827106516,0.992069848252203,1.27184115217824,"32TMT_B08_05_I","2020"
"32UQU","B08",0.05,"False",1.11672789366195,1.42787222411035,13.580013549379,23.4736166468711,0.980328539362366,1.92492843917392,"32UQU_B08_05_I","2020"
"33NTG","B08",0.05,"False",-1.28414615737776,1.75807430210317,-13.5140131312679,29.4829115226249,0.994139105237727,1.82063604520875,"33NTG_B08_05_I","2020"
"34UFD","B08",0.05,"False",-1.09160805165296,1.42417928287764,-24.9539417223974,43.5999107768502,0.899434517916784,1.87463369499514,"34UFD_B08_05_I","2020"
"35VML","B08",0.05,"False",2.61636259279909,2.82714669045469,62.7046166003361,73.6035403857213,0.584379444590412,2.24467495227676,"35VML_B08_05_I","2020"
"49NHC","B08",0.05,"False",0.778104740235052,2.7644801999235,1.56335089507372,7.52620645760923,0.856591816890455,3.74558478983115,"49NHC_B08_05_I","2020"
"32TMT","B02",0.05,"True",0.392829572116487,0.718225678702549,1.37798458065318,6.21378602406591,0.995323398348568,1.03823284104534,"32TMT_B02_05_D","2020"
"32UQU","B02",0.05,"True",1.43974360717781,1.64645955232822,15.1780733604685,23.4787833351479,0.977926565927575,1.84525786693904,"32UQU_B02_05_D","2020"
"33NTG","B02",0.05,"True",0.099862676731325,1.03326198164785,13.315722292539,17.1017270626031,0.995797813653524,1.41286503607814,"33NTG_B02_05_D","2020"
"34UFD","B02",0.05,"True",-0.466530088438783,1.04584379893562,-5.20446793542852,27.9090567691336,0.918551468686818,1.66694695389673,"34UFD_B02_05_D","2020"
"35VML","B02",0.05,"True",2.27155150114486,2.40335496108376,62.2918306046809,68.8838926706299,0.605929344702928,1.83511145743168,"35VML_B02_05_D","2020"
"49NHC","B02",0.05,"True",4.01069377587129,4.19313161040752,10.0363763282842,10.6456042989156,0.915359323104198,2.65038998602546,"49NHC_B02_05_D","2020"
"32TMT","B03",0.05,"True",0.703203216699059,0.895758428120433,5.78877370334776,7.72694306899175,0.99448049245613,1.09896432117266,"32TMT_B03_05_D","2020"
"32UQU","B03",0.05,"True",1.04481456537086,1.23239034867813,10.186451330586,18.4234987089039,0.983795055384115,1.57994330142031,"32UQU_B03_05_D","2020"
"33NTG","B03",0.05,"True",-0.459669722417182,0.987143971786804,-6.0684135333008,13.9711505243186,0.995508904449882,1.35415779432721,"33NTG_B03_05_D","2020"
"34UFD","B03",0.05,"True",0.04907083923892,0.48479892386396,3.66002881575887,17.6618498066339,0.982777219596752,0.787863037883654,"34UFD_B03_05_D","2020"
"35VML","B03",0.05,"True",2.25032419064084,2.33654544276536,63.2878621025421,67.6174199279946,0.664504330707678,1.72171812045725,"35VML_B03_05_D","2020"
"49NHC","B03",0.05,"True",3.00113910044621,3.81408815069124,6.98193710808466,9.78301851115889,0.896310264356188,3.3651029875658,"49NHC_B03_05_D","2020"
"32TMT","B04",0.05,"True",0.239661653232627,0.703981013706296,0.517976441657752,6.00334240329013,0.993987398756206,1.15060918207187,"32TMT_B04_05_D","2020"
"32UQU","B04",0.05,"True",1.55684850127513,1.81139096681317,15.6362265577199,24.5231264927646,0.977049663787578,2.42259524126533,"32UQU_B04_05_D","2020"
"33NTG","B04",0.05,"True",2.12405302196495,2.37918503451174,6.81322623488215,24.1171704145486,0.994642067717401,2.14741661026354,"33NTG_B04_05_D","2020"
