"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"49UCP","B08",0,"True",0,0,0,0,1,0,"49UCP_original","2020"
"49UCP","B08",0.05,"False",1.72597364366653,2.07895443974021,85.0015043274361,88.4264463827642,0.899346894260969,2.27358950509199,"49UCP_B08_05_I","2020"
"49UCP","B08",0.05,"True",-0.0101142030096582,1.65557277867409,17.2923895508134,51.1375903965204,0.835703050999423,2.74339980224504,"49UCP_B08_05_D","2020"
"49UCP","B08",0.1,"False",3.21654805555528,3.84671065065827,106.326289537262,112.561692136522,0.80700588350236,2.9591362929249,"49UCP_B08_10_I","2020"
"49UCP","B08",0.1,"True",5.32338043342265,5.58947819940825,120.206025725179,122.588127071515,0.762613919323416,3.42248617054023,"49UCP_B08_10_D","2020"
"49UCP","B08",0.15,"False",11.3825134180725,11.4177268709039,145.545260848559,145.755071083524,0.640053007252434,5.268657915416,"49UCP_B08_15_I","2020"
"49UCP","B08",0.15,"True",7.76171024550268,8.24978338991396,128.542070938803,132.056885971634,0.532300781935327,4.5049817740712,"49UCP_B08_15_D","2020"
"49UCP","B08",0.2,"False",13.627732434531,13.7451605309248,142.952021820137,143.661661999208,0.245388185330268,5.85392304512223,"49UCP_B08_20_I","2020"
"49UCP","B08",0.2,"True",11.0617153746753,11.6298407979141,136.371220222937,140.258983819595,0.154130583350681,5.98637528517284,"49UCP_B08_20_D","2020"
"49UCP","B08",0.25,"False",16.9893161022614,17.0042742522943,153.691738821864,153.778536859745,0.555006526615051,4.86805211175695,"49UCP_B08_25_I","2020"
"49UCP","B08",0.25,"True",11.461562594985,11.6153703805769,141.858001318304,142.795743229303,0.543582592313579,4.36954915954301,"49UCP_B08_25_D","2020"
