"","Step","Minutes"
"1","1/66",8.49
"2","2/66",6.71
"3","3/66",5.16
"4","4/66",6.71
"5","5/66",9.97
"6","6/66",6.73
"7","7/66",16.26
"8","8/66",16.36
"9","9/66",3.56
"10","10/66",3.53
"11","11/66",19.5
"12","12/66",19.52
"13","13/66",3.57
"14","14/66",3.58
"15","15/66",16.3
"16","16/66",16.21
"17","17/66",6.75
"18","18/66",9.87
"19","19/66",6.69
"20","20/66",5.14
"21","21/66",6.67
"22","22/66",8.34
"23","23/66",19.46
"24","24/66",3.57
"25","25/66",3.58
"26","26/66",16.32
"27","27/66",16.24
"28","28/66",6.75
"29","29/66",9.91
"30","30/66",6.68
"31","31/66",5.15
"32","32/66",6.67
"33","33/66",8.35
"34","34/66",19.47
"35","35/66",3.56
"36","36/66",3.59
"37","37/66",16.26
"38","38/66",16.24
"39","39/66",6.78
"40","40/66",9.91
"41","41/66",6.72
"42","42/66",5.19
"43","43/66",6.79
"44","44/66",8.32
"45","45/66",19.7
"46","46/66",3.57
"47","47/66",3.58
"48","48/66",16.3
"49","49/66",16.31
"50","50/66",6.76
"51","51/66",9.92
"52","52/66",6.71
"53","53/66",5.18
"54","54/66",6.67
"55","55/66",8.34
"56","56/66",19.63
"57","57/66",3.55
"58","58/66",3.59
"59","59/66",16.3
"60","60/66",16.32
"61","61/66",6.75
"62","62/66",9.93
"63","63/66",6.79
"64","64/66",5.17
"65","65/66",6.72
"66","66/66",8.37
