"","Step","Minutes"
"1","1/132",10.6
"2","2/132",8.29
"3","3/132",6.34
"4","4/132",8.12
"5","5/132",11.91
"6","6/132",8.22
"7","7/132",19.46
"8","8/132",19.58
"9","9/132",4.48
"10","10/132",4.46
"11","11/132",24.04
"12","12/132",28.03
"13","13/132",5.61
"14","14/132",5.4
"15","15/132",22.72
"16","16/132",22.88
"17","17/132",9.13
"18","18/132",12.21
"19","19/132",8.16
"20","20/132",6.42
"21","21/132",8.38
"22","22/132",11.22
"23","23/132",27.53
"24","24/132",4.38
"25","25/132",4.46
"26","26/132",19.14
"27","27/132",19.19
"28","28/132",8.49
"29","29/132",12.05
"30","30/132",8.28
"31","31/132",6.22
"32","32/132",8.01
"33","33/132",9.97
"34","34/132",22.77
"35","35/132",4.41
"36","36/132",4.48
"37","37/132",19.25
"38","38/132",19.65
"39","39/132",8.33
"40","40/132",11.79
"41","41/132",8.07
"42","42/132",6.19
"43","43/132",7.9
"44","44/132",9.86
"45","45/132",22.68
"46","46/132",4.98
"47","47/132",4.71
"48","48/132",20.37
"49","49/132",19.1
"50","50/132",8.13
"51","51/132",11.78
"52","52/132",7.98
"53","53/132",6.2
"54","54/132",8.03
"55","55/132",9.94
"56","56/132",23.42
"57","57/132",4.45
"58","58/132",4.69
"59","59/132",19.65
"60","60/132",18.96
"61","61/132",8.11
"62","62/132",11.73
"63","63/132",7.96
"64","64/132",6.23
"65","65/132",8.1
"66","66/132",9.98
"67","67/132",23.37
"68","68/132",4.59
"69","69/132",4.7
"70","70/132",19.32
"71","71/132",19.05
"72","72/132",8.05
"73","73/132",11.8
"74","74/132",7.99
"75","75/132",6.45
"76","76/132",8.16
"77","77/132",10.26
"78","78/132",21.01
"79","79/132",3.88
"80","80/132",3.88
"81","81/132",16.7
"82","82/132",16.65
"83","83/132",7.1
"84","84/132",10.24
"85","85/132",6.99
"86","86/132",5.47
"87","87/132",6.96
"88","88/132",8.65
"89","89/132",19.88
"90","90/132",3.86
"91","91/132",3.89
"92","92/132",18.93
"93","93/132",19.36
"94","94/132",8.25
"95","95/132",11.9
"96","96/132",8.07
"97","97/132",6.33
"98","98/132",8.14
"99","99/132",10.1
"100","100/132",23.17
"101","101/132",4.45
"102","102/132",4.66
"103","103/132",21.43
"104","104/132",20.97
"105","105/132",8.5
"106","106/132",12.28
"107","107/132",8.34
"108","108/132",6.51
"109","109/132",8.15
"110","110/132",10.69
"111","111/132",23.72
"112","112/132",4.52
"113","113/132",4.53
"114","114/132",19.41
"115","115/132",19.29
"116","116/132",8.27
"117","117/132",12.16
"118","118/132",8.32
"119","119/132",6.5
"120","120/132",8.29
"121","121/132",9.98
"122","122/132",22.92
"123","123/132",4.49
"124","124/132",4.48
"125","125/132",19.72
"126","126/132",20
"127","127/132",8.2
"128","128/132",11.81
"129","129/132",8.1
"130","130/132",6.27
"131","131/132",8.1
"132","132/132",10.02
