"","Step","Minutes"
"1","1/357",6.68
"2","2/357",5.1
"3","3/357",9.92
"4","4/357",6.73
"5","5/357",16.34
"6","6/357",3.54
"7","7/357",19.55
"8","8/357",19.59
"9","9/357",3.6
"10","10/357",16.42
"11","11/357",6.76
"12","12/357",10.04
"13","13/357",5.17
"14","14/357",6.76
"15","15/357",19.67
"16","16/357",3.58
"17","17/357",16.47
"18","18/357",6.86
"19","19/357",10.05
"20","20/357",5.14
"21","21/357",6.65
"22","22/357",19.43
"23","23/357",3.55
"24","24/357",16.26
"25","25/357",6.76
"26","26/357",9.9
"27","27/357",5.12
"28","28/357",6.66
"29","29/357",19.43
"30","30/357",3.53
"31","31/357",16.25
"32","32/357",6.72
"33","33/357",9.88
"34","34/357",5.14
"35","35/357",6.64
"36","36/357",19.44
"37","37/357",3.54
"38","38/357",16.22
"39","39/357",6.72
"40","40/357",9.88
"41","41/357",5.13
"42","42/357",6.67
"43","43/357",19.42
"44","44/357",3.54
"45","45/357",16.25
"46","46/357",6.72
"47","47/357",9.87
"48","48/357",5.12
"49","49/357",6.61
"50","50/357",19.38
"51","51/357",3.56
"52","52/357",16.23
"53","53/357",6.71
"54","54/357",9.9
"55","55/357",5.14
"56","56/357",6.67
"57","57/357",19.36
"58","58/357",3.54
"59","59/357",16.19
"60","60/357",6.71
"61","61/357",9.9
"62","62/357",5.11
"63","63/357",6.62
"64","64/357",19.43
"65","65/357",3.53
"66","66/357",16.19
"67","67/357",6.72
"68","68/357",9.88
"69","69/357",5.12
"70","70/357",6.65
"71","71/357",19.41
"72","72/357",3.56
"73","73/357",16.21
"74","74/357",6.74
"75","75/357",9.88
"76","76/357",5.13
"77","77/357",6.68
"78","78/357",19.39
"79","79/357",3.53
"80","80/357",16.2
"81","81/357",6.75
"82","82/357",9.91
"83","83/357",5.11
"84","84/357",6.64
"85","85/357",19.37
"86","86/357",3.54
"87","87/357",16.2
"88","88/357",6.72
"89","89/357",9.88
"90","90/357",5.17
"91","91/357",6.63
"92","92/357",19.41
"93","93/357",3.58
"94","94/357",16.2
"95","95/357",6.72
"96","96/357",9.9
"97","97/357",5.11
