"","Step","Minutes"
"1","1/162",6.73
"2","2/162",3.55
"3","3/162",3.57
"4","4/162",6.68
"5","5/162",3.57
"6","6/162",6.72
"7","7/162",3.6
"8","8/162",6.7
"9","9/162",3.57
"10","10/162",6.69
"11","11/162",3.56
"12","12/162",6.7
"13","13/162",3.57
"14","14/162",6.7
"15","15/162",3.58
"16","16/162",6.69
"17","17/162",3.58
"18","18/162",6.69
"19","19/162",3.58
"20","20/162",6.69
"21","21/162",3.59
"22","22/162",6.68
"23","23/162",3.57
"24","24/162",6.69
"25","25/162",3.58
"26","26/162",6.69
"27","27/162",3.57
"28","28/162",6.7
"29","29/162",3.57
"30","30/162",6.67
"31","31/162",3.57
"32","32/162",6.67
"33","33/162",3.6
"34","34/162",6.7
"35","35/162",3.57
"36","36/162",6.69
"37","37/162",3.57
"38","38/162",6.68
"39","39/162",3.56
"40","40/162",6.68
"41","41/162",3.57
"42","42/162",6.72
"43","43/162",3.56
"44","44/162",6.69
"45","45/162",3.55
"46","46/162",6.69
"47","47/162",3.56
"48","48/162",6.68
"49","49/162",3.56
"50","50/162",6.7
"51","51/162",3.57
"52","52/162",6.71
"53","53/162",3.57
"54","54/162",6.69
"55","55/162",3.56
"56","56/162",6.68
"57","57/162",3.58
"58","58/162",6.7
"59","59/162",3.55
"60","60/162",6.69
"61","61/162",3.57
"62","62/162",6.74
"63","63/162",3.56
"64","64/162",6.68
"65","65/162",3.57
"66","66/162",6.7
"67","67/162",3.55
"68","68/162",6.68
"69","69/162",3.56
"70","70/162",6.68
"71","71/162",3.56
"72","72/162",6.66
"73","73/162",3.56
"74","74/162",6.66
"75","75/162",3.56
"76","76/162",6.69
"77","77/162",3.56
"78","78/162",6.66
"79","79/162",3.56
"80","80/162",6.68
"81","81/162",3.57
"82","82/162",6.69
"83","83/162",3.58
"84","84/162",6.69
"85","85/162",3.57
"86","86/162",6.71
"87","87/162",3.56
"88","88/162",6.67
"89","89/162",3.57
"90","90/162",6.72
"91","91/162",3.56
"92","92/162",6.68
"93","93/162",3.59
"94","94/162",6.67
"95","95/162",3.56
"96","96/162",6.68
"97","97/162",3.56
"98","98/162",6.69
"99","99/162",3.56
"100","100/162",6.69
"101","101/162",3.57
"102","102/162",6.71
"103","103/162",3.56
"104","104/162",6.68
"105","105/162",3.56
"106","106/162",6.67
"107","107/162",3.56
"108","108/162",6.68
"109","109/162",3.56
"110","110/162",6.67
"111","111/162",3.57
"112","112/162",6.66
"113","113/162",3.56
"114","114/162",6.7
"115","115/162",3.57
"116","116/162",6.66
"117","117/162",3.57
"118","118/162",6.67
"119","119/162",3.56
"120","120/162",6.67
"121","121/162",3.56
"122","122/162",6.65
"123","123/162",3.57
"124","124/162",6.68
"125","125/162",3.56
"126","126/162",6.68
"127","127/162",3.56
"128","128/162",6.69
"129","129/162",3.58
"130","130/162",6.69
"131","131/162",3.55
"132","132/162",6.72
"133","133/162",3.56
"134","134/162",6.67
"135","135/162",3.56
"136","136/162",6.68
"137","137/162",3.56
"138","138/162",6.67
"139","139/162",3.57
"140","140/162",6.71
"141","141/162",3.56
"142","142/162",6.68
"143","143/162",3.56
"144","144/162",6.69
"145","145/162",3.55
"146","146/162",6.68
"147","147/162",3.56
"148","148/162",6.68
"149","149/162",3.57
"150","150/162",6.67
"151","151/162",3.56
"152","152/162",6.65
"153","153/162",3.58
"154","154/162",6.67
"155","155/162",3.56
"156","156/162",6.93
"157","157/162",3.56
"158","158/162",6.7
"159","159/162",3.56
"160","160/162",6.68
"161","161/162",3.58
"162","162/162",6.69
