"","Step","Minutes"
"1","1/246",8.23
"2","2/246",11.32
"3","3/246",15.64
"4","4/246",35.27
"5","5/246",23.61
"6","6/246",24.03
"7","7/246",23.61
"8","8/246",23.82
"9","9/246",34.75
"10","10/246",15.18
"11","11/246",10.68
"12","12/246",8.77
"13","13/246",23.58
"14","14/246",23.55
"15","15/246",34.58
"16","16/246",14.69
"17","17/246",11.29
"18","18/246",7.78
"19","19/246",23.92
"20","20/246",23.47
"21","21/246",34.71
"22","22/246",15.16
"23","23/246",10.78
"24","24/246",8.24
"25","25/246",23.79
"26","26/246",23.33
"27","27/246",34.31
"28","28/246",15.15
"29","29/246",10.68
"30","30/246",8.53
"31","31/246",22.51
"32","32/246",23.11
"33","33/246",35.18
"34","34/246",14.99
"35","35/246",10.08
"36","36/246",8.58
"37","37/246",23.13
"38","38/246",22.47
"39","39/246",34.71
"40","40/246",14.88
"41","41/246",10.69
"42","42/246",8.59
"43","43/246",21.86
"44","44/246",23.73
"45","45/246",28
"46","46/246",11.32
"47","47/246",8.11
"48","48/246",6.56
"49","49/246",17.74
"50","50/246",17.69
"51","51/246",26.02
"52","52/246",14.01
"53","53/246",10.42
"54","54/246",9.18
"55","55/246",23.1
"56","56/246",23.58
"57","57/246",34.58
"58","58/246",15.25
"59","59/246",10.87
"60","60/246",7.9
"61","61/246",24.04
"62","62/246",23.73
"63","63/246",34.65
"64","64/246",15.23
"65","65/246",10.11
"66","66/246",8.83
"67","67/246",23.98
"68","68/246",22.61
"69","69/246",34.57
"70","70/246",15.54
"71","71/246",10.43
"72","72/246",8.88
"73","73/246",23.96
"74","74/246",23.36
"75","75/246",34.56
"76","76/246",15.28
"77","77/246",10.81
"78","78/246",8.62
"79","79/246",23.62
"80","80/246",23.39
"81","81/246",35.38
"82","82/246",15.12
"83","83/246",11.15
"84","84/246",7.74
"85","85/246",23.67
"86","86/246",23.62
"87","87/246",34.41
"88","88/246",15.12
"89","89/246",10.66
"90","90/246",8.61
"91","91/246",24.33
"92","92/246",23.98
"93","93/246",34.61
"94","94/246",14.39
"95","95/246",10.87
"96","96/246",9.05
"97","97/246",23.84
"98","98/246",23.67
"99","99/246",33.73
"100","100/246",15.21
"101","101/246",10.71
"102","102/246",8.57
"103","103/246",23.53
"104","104/246",23.66
"105","105/246",34.89
"106","106/246",15.14
"107","107/246",10.14
"108","108/246",8.57
"109","109/246",23.55
"110","110/246",22.9
"111","111/246",34.86
"112","112/246",14.04
"113","113/246",10.86
"114","114/246",8.55
"115","115/246",23.58
"116","116/246",23.46
"117","117/246",34.95
"118","118/246",15.13
"119","119/246",10.76
"120","120/246",8.79
"121","121/246",23.01
"122","122/246",23.52
"123","123/246",34.34
"124","124/246",14.6
"125","125/246",10.74
"126","126/246",8.67
"127","127/246",22.15
"128","128/246",23.31
"129","129/246",34.31
"130","130/246",14.96
"131","131/246",10.61
"132","132/246",7.91
"133","133/246",23.43
"134","134/246",21.71
"135","135/246",34.85
"136","136/246",15
"137","137/246",10.71
"138","138/246",8.64
"139","139/246",23.39
"140","140/246",23.24
"141","141/246",34.53
"142","142/246",14.91
"143","143/246",10.27
"144","144/246",8.69
"145","145/246",23.58
"146","146/246",22.64
"147","147/246",33.88
"148","148/246",14.71
"149","149/246",10.44
"150","150/246",8.31
"151","151/246",23.39
"152","152/246",22.63
"153","153/246",35.13
"154","154/246",15.27
"155","155/246",10.6
"156","156/246",8.51
"157","157/246",23.01
"158","158/246",23.59
"159","159/246",33.47
"160","160/246",14.73
"161","161/246",10.56
"162","162/246",8.55
"163","163/246",23.15
"164","164/246",23.06
"165","165/246",34.17
"166","166/246",14.81
"167","167/246",10.28
"168","168/246",8.7
"169","169/246",23.73
"170","170/246",22.62
"171","171/246",34.11
"172","172/246",14.74
"173","173/246",10.07
"174","174/246",8.69
"175","175/246",23.25
"176","176/246",17.69
"177","177/246",25.99
"178","178/246",11.33
"179","179/246",8.11
"180","180/246",6.55
"181","181/246",17.73
"182","182/246",17.68
"183","183/246",25.92
"184","184/246",11.32
"185","185/246",8.14
"186","186/246",6.56
"187","187/246",17.76
"188","188/246",17.65
"189","189/246",25.96
"190","190/246",11.31
"191","191/246",8.12
"192","192/246",6.55
"193","193/246",17.72
"194","194/246",17.64
"195","195/246",25.91
"196","196/246",11.31
"197","197/246",8.09
"198","198/246",6.54
"199","199/246",17.8
"200","200/246",16.98
"201","201/246",16.86
