"","Step","Minutes"
"1","1/55",8.59
"2","2/55",6.85
"3","3/55",5.33
"4","4/55",6.89
"5","5/55",10.24
"6","6/55",6.97
"7","7/55",16.52
"8","8/55",16.56
"9","9/55",3.6
"10","10/55",3.58
"11","11/55",19.77
"12","12/55",19.85
"13","13/55",3.63
"14","14/55",3.67
"15","15/55",16.54
"16","16/55",16.57
"17","17/55",6.85
"18","18/55",10.05
"19","19/55",6.79
"20","20/55",5.19
"21","21/55",6.93
"22","22/55",8.38
"23","23/55",19.63
"24","24/55",3.63
"25","25/55",3.62
"26","26/55",16.61
"27","27/55",16.44
"28","28/55",6.79
"29","29/55",9.94
"30","30/55",6.78
"31","31/55",5.17
"32","32/55",6.69
"33","33/55",8.38
"34","34/55",19.55
"35","35/55",3.58
"36","36/55",3.59
"37","37/55",16.37
"38","38/55",16.3
"39","39/55",6.8
"40","40/55",9.96
"41","41/55",6.72
"42","42/55",5.18
"43","43/55",6.68
"44","44/55",8.39
"45","45/55",19.53
"46","46/55",3.58
"47","47/55",3.59
"48","48/55",16.34
"49","49/55",16.3
"50","50/55",6.86
"51","51/55",9.95
"52","52/55",6.7
"53","53/55",5.18
"54","54/55",6.69
"55","55/55",8.34
