"","Step","Minutes"
"1","1/162",18.89
"2","2/162",29.16
"3","3/162",26.37
"4","4/162",16.09
"5","5/162",27.89
"6","6/162",17.58
"7","7/162",26.12
"8","8/162",17.38
"9","9/162",29
"10","10/162",17.89
"11","11/162",32.12
"12","12/162",18.19
"13","13/162",32.41
"14","14/162",16.42
"15","15/162",27.43
"16","16/162",16.43
"17","17/162",28.75
"18","18/162",16.39
"19","19/162",27.27
"20","20/162",15.76
"21","21/162",28.16
"22","22/162",16.84
"23","23/162",28.27
"24","24/162",14.96
"25","25/162",27.91
"26","26/162",16.58
"27","27/162",30.46
"28","28/162",16.28
"29","29/162",26.12
"30","30/162",17.2
"31","31/162",28.75
"32","32/162",16.32
"33","33/162",26.9
"34","34/162",16.06
"35","35/162",28.58
"36","36/162",15.82
"37","37/162",26.62
"38","38/162",17.73
"39","39/162",28.08
"40","40/162",16.89
"41","41/162",25.7
"42","42/162",17.18
"43","43/162",23.27
"44","44/162",14.67
"45","45/162",22.65
"46","46/162",16.09
"47","47/162",23.1
"48","48/162",15.84
"49","49/162",27.07
"50","50/162",16.21
"51","51/162",28.35
"52","52/162",15.7
"53","53/162",25.53
"54","54/162",13
"55","55/162",22.64
"56","56/162",13.5
"57","57/162",23.75
"58","58/162",13.8
"59","59/162",25.29
"60","60/162",14.05
"61","61/162",23.83
"62","62/162",13.62
"63","63/162",23.66
"64","64/162",14.8
"65","65/162",25.67
"66","66/162",13.8
"67","67/162",24.82
"68","68/162",13.72
"69","69/162",25.72
"70","70/162",15.6
"71","71/162",22.47
"72","72/162",12.3
"73","73/162",21.12
"74","74/162",12.57
"75","75/162",22.06
"76","76/162",11.56
"77","77/162",19.99
"78","78/162",14.74
"79","79/162",23.09
"80","80/162",12.24
"81","81/162",19.11
"82","82/162",12.97
"83","83/162",20.28
"84","84/162",12.61
"85","85/162",21.98
"86","86/162",13.27
"87","87/162",19.96
"88","88/162",12.03
"89","89/162",20.09
"90","90/162",13.44
"91","91/162",24.45
"92","92/162",11.13
"93","93/162",22.42
"94","94/162",13.23
"95","95/162",19.73
"96","96/162",11.3
"97","97/162",16.75
"98","98/162",11.3
"99","99/162",16.75
"100","100/162",11.26
"101","101/162",16.76
"102","102/162",11.36
"103","103/162",16.73
"104","104/162",11.4
"105","105/162",16.74
"106","106/162",11.16
"107","107/162",16.7
"108","108/162",11.13
"109","109/162",16.78
"110","110/162",11.27
"111","111/162",16.79
"112","112/162",11.42
"113","113/162",16.8
"114","114/162",11.45
"115","115/162",16.81
"116","116/162",11.27
"117","117/162",16.76
"118","118/162",11.33
"119","119/162",16.75
"120","120/162",11.33
"121","121/162",16.76
"122","122/162",11.13
"123","123/162",16.73
"124","124/162",11.3
"125","125/162",16.79
"126","126/162",11.2
"127","127/162",16.74
"128","128/162",11.19
"129","129/162",16.84
"130","130/162",11.31
"131","131/162",16.77
"132","132/162",11.2
"133","133/162",16.78
"134","134/162",11.42
"135","135/162",17.02
"136","136/162",11.88
"137","137/162",16.87
"138","138/162",12.42
"139","139/162",18.24
"140","140/162",11.86
"141","141/162",17.87
"142","142/162",12.2
"143","143/162",18.79
"144","144/162",11.84
"145","145/162",16.98
"146","146/162",11.57
"147","147/162",17.77
"148","148/162",11.26
"149","149/162",17.12
"150","150/162",11.65
"151","151/162",17.46
"152","152/162",11.53
"153","153/162",16.98
"154","154/162",11.14
"155","155/162",16.84
"156","156/162",11.4
"157","157/162",17.19
"158","158/162",10.7
"159","159/162",17.28
"160","160/162",10.9
"161","161/162",17.91
"162","162/162",10.4
