"","Step","Minutes"
"1","1/82",13.3
"2","2/82",10.8
"3","3/82",10.96
"4","4/82",12.58
"5","5/82",10.99
"6","6/82",13.31
"7","7/82",10.92
"8","8/82",13.1
"9","9/82",10.07
"10","10/82",13.17
"11","11/82",10.86
"12","12/82",12.92
"13","13/82",10.82
"14","14/82",12.04
"15","15/82",10.88
"16","16/82",12.87
"17","17/82",10.83
"18","18/82",13.07
"19","19/82",10.12
"20","20/82",13.21
"21","21/82",11.06
"22","22/82",12.33
"23","23/82",10.96
"24","24/82",13.17
"25","25/82",10.89
"26","26/82",12.73
"27","27/82",10.81
"28","28/82",12.99
"29","29/82",10.83
"30","30/82",13
"31","31/82",10.82
"32","32/82",12.72
"33","33/82",10.51
"34","34/82",12.96
"35","35/82",10.4
"36","36/82",12.78
"37","37/82",10.92
"38","38/82",13
"39","39/82",10.77
"40","40/82",12.97
"41","41/82",8.12
"42","42/82",9.77
"43","43/82",8.09
"44","44/82",9.79
"45","45/82",8.1
"46","46/82",9.76
"47","47/82",8.07
"48","48/82",9.76
"49","49/82",8.1
"50","50/82",9.74
"51","51/82",8.09
"52","52/82",9.75
"53","53/82",8.09
"54","54/82",9.75
"55","55/82",8.07
"56","56/82",9.76
"57","57/82",8.1
"58","58/82",9.75
"59","59/82",8.08
"60","60/82",9.77
"61","61/82",8.07
"62","62/82",9.74
"63","63/82",8.1
"64","64/82",9.75
"65","65/82",8.11
"66","66/82",9.74
"67","67/82",8.08
"68","68/82",9.74
"69","69/82",8.07
"70","70/82",9.76
"71","71/82",8.07
"72","72/82",9.75
"73","73/82",8.09
"74","74/82",9.74
"75","75/82",8.09
"76","76/82",9.74
"77","77/82",8.06
"78","78/82",9.74
"79","79/82",8.07
"80","80/82",9.74
"81","81/82",8.07
"82","82/82",9.74
