"","Step","Minutes"
"1","1/116",18.38
"2","2/116",30.15
"3","3/116",30.82
"4","4/116",19.41
"5","5/116",29.01
"6","6/116",18.95
"7","7/116",31.38
"8","8/116",19.74
"9","9/116",30.46
"10","10/116",19.06
"11","11/116",32.9
"12","12/116",19.27
"13","13/116",29.68
"14","14/116",19.29
"15","15/116",30.17
"16","16/116",19.88
"17","17/116",29.09
"18","18/116",20.72
"19","19/116",30.32
"20","20/116",18.65
"21","21/116",28.72
"22","22/116",19.67
"23","23/116",31.08
"24","24/116",19.38
"25","25/116",29.94
"26","26/116",20.52
"27","27/116",29.87
"28","28/116",20.29
"29","29/116",30.21
"30","30/116",20.7
"31","31/116",30.2
"32","32/116",19.4
"33","33/116",26.63
"34","34/116",15.82
"35","35/116",29.25
"36","36/116",15.54
"37","37/116",28.14
"38","38/116",16.02
"39","39/116",26.68
"40","40/116",16.07
"41","41/116",24.97
"42","42/116",16.95
"43","43/116",25.54
"44","44/116",15.87
"45","45/116",26.59
"46","46/116",16.95
"47","47/116",25.76
"48","48/116",16.01
"49","49/116",23.8
"50","50/116",16.39
"51","51/116",26.97
"52","52/116",17.69
"53","53/116",25.45
"54","54/116",17.89
"55","55/116",26.75
"56","56/116",16.22
"57","57/116",27.16
"58","58/116",17.66
"59","59/116",26.5
"60","60/116",16.29
"61","61/116",26.98
"62","62/116",16.47
"63","63/116",27.2
"64","64/116",16.44
"65","65/116",24.96
"66","66/116",16.84
"67","67/116",28.3
"68","68/116",17.47
"69","69/116",29.86
"70","70/116",16.54
"71","71/116",27.62
"72","72/116",12.83
"73","73/116",22.02
"74","74/116",14
"75","75/116",24.92
"76","76/116",12.94
"77","77/116",22.76
"78","78/116",13.13
"79","79/116",24.2
"80","80/116",14.8
"81","81/116",22.07
"82","82/116",14.32
"83","83/116",22.76
"84","84/116",13.67
"85","85/116",23.59
"86","86/116",15.42
"87","87/116",22.02
"88","88/116",15.31
"89","89/116",23.31
"90","90/116",14.56
"91","91/116",21.01
"92","92/116",13.04
"93","93/116",20.67
"94","94/116",12.55
"95","95/116",20.03
"96","96/116",13.38
"97","97/116",18.27
"98","98/116",12.18
"99","99/116",19.65
"100","100/116",13.02
"101","101/116",18.65
"102","102/116",11.59
"103","103/116",19.55
"104","104/116",11.84
"105","105/116",19.65
"106","106/116",11.68
"107","107/116",20.61
"108","108/116",11.68
"109","109/116",20.88
"110","110/116",12.34
"111","111/116",20.9
"112","112/116",11.61
"113","113/116",21.72
"114","114/116",13.99
"115","115/116",19.1
"116","116/116",13.94
