"","Step","Minutes"
"1","1/451",10
"2","2/451",8.24
"3","3/451",6.67
"4","4/451",8.19
"5","5/451",11.44
"6","6/451",26.68
"7","7/451",17.72
"8","8/451",17.77
"9","9/451",6.58
"10","10/451",8.11
"11","11/451",20.87
"12","12/451",20.86
"13","13/451",8.1
"14","14/451",6.55
"15","15/451",17.69
"16","16/451",17.61
"17","17/451",25.94
"18","18/451",11.28
"19","19/451",8.07
"20","20/451",6.54
"21","21/451",8.07
"22","22/451",9.72
"23","23/451",20.76
"24","24/451",8.06
"25","25/451",6.55
"26","26/451",17.68
"27","27/451",17.6
"28","28/451",25.92
"29","29/451",11.28
"30","30/451",8.05
"31","31/451",6.52
"32","32/451",8.06
"33","33/451",9.73
"34","34/451",20.81
"35","35/451",8.2
"36","36/451",6.55
"37","37/451",17.8
"38","38/451",17.6
"39","39/451",25.86
"40","40/451",11.35
"41","41/451",8.05
"42","42/451",6.51
"43","43/451",8.05
"44","44/451",9.72
"45","45/451",20.93
"46","46/451",8.1
"47","47/451",6.53
"48","48/451",17.66
"49","49/451",17.59
"50","50/451",25.87
"51","51/451",11.28
"52","52/451",8.07
"53","53/451",6.51
"54","54/451",8.05
"55","55/451",9.73
"56","56/451",20.81
"57","57/451",8.05
"58","58/451",6.53
"59","59/451",17.69
"60","60/451",17.59
"61","61/451",25.87
"62","62/451",11.28
"63","63/451",8.05
"64","64/451",6.51
"65","65/451",8.03
"66","66/451",9.73
"67","67/451",20.86
"68","68/451",8.09
"69","69/451",6.52
"70","70/451",17.69
"71","71/451",17.63
"72","72/451",25.86
"73","73/451",12.47
"74","74/451",8.07
"75","75/451",6.52
"76","76/451",8.09
"77","77/451",9.76
"78","78/451",20.95
"79","79/451",8.15
"80","80/451",6.62
"81","81/451",17.73
"82","82/451",17.65
"83","83/451",26.06
"84","84/451",11.35
"85","85/451",8.08
"86","86/451",6.53
"87","87/451",8.08
"88","88/451",9.75
"89","89/451",20.9
"90","90/451",8.09
"91","91/451",6.56
"92","92/451",17.71
"93","93/451",17.64
"94","94/451",25.93
"95","95/451",11.32
"96","96/451",8.1
"97","97/451",6.53
"98","98/451",8.07
"99","99/451",9.77
"100","100/451",20.83
"101","101/451",8.09
"102","102/451",6.57
"103","103/451",17.72
"104","104/451",17.68
"105","105/451",25.99
"106","106/451",11.36
"107","107/451",8.1
"108","108/451",6.55
"109","109/451",8.09
"110","110/451",9.79
"111","111/451",20.93
"112","112/451",8.11
"113","113/451",6.61
"114","114/451",17.76
"115","115/451",17.72
"116","116/451",26.25
"117","117/451",11.37
"118","118/451",8.09
"119","119/451",6.54
"120","120/451",8.1
"121","121/451",9.79
"122","122/451",20.95
"123","123/451",8.08
"124","124/451",6.56
"125","125/451",17.81
"126","126/451",17.71
"127","127/451",26.1
"128","128/451",11.36
"129","129/451",8.1
"130","130/451",6.57
"131","131/451",8.09
"132","132/451",9.75
"133","133/451",20.89
"134","134/451",8.06
"135","135/451",6.63
"136","136/451",17.74
"137","137/451",17.71
"138","138/451",26
"139","139/451",11.32
"140","140/451",8.08
"141","141/451",6.56
"142","142/451",8.08
"143","143/451",9.75
"144","144/451",21
"145","145/451",8.05
"146","146/451",6.55
"147","147/451",17.77
"148","148/451",17.69
"149","149/451",25.99
"150","150/451",11.31
"151","151/451",8.09
"152","152/451",6.54
"153","153/451",8.06
"154","154/451",9.76
"155","155/451",20.88
"156","156/451",8.07
"157","157/451",6.56
"158","158/451",17.69
"159","159/451",17.77
"160","160/451",26.04
"161","161/451",11.31
"162","162/451",8.07
"163","163/451",6.52
"164","164/451",8.07
"165","165/451",9.77
"166","166/451",20.82
"167","167/451",8.14
"168","168/451",6.54
"169","169/451",17.72
"170","170/451",17.63
"171","171/451",26.01
"172","172/451",11.29
"173","173/451",8.08
"174","174/451",6.56
"175","175/451",8.07
"176","176/451",9.78
"177","177/451",20.81
"178","178/451",8.07
"179","179/451",6.54
"180","180/451",17.68
"181","181/451",17.63
"182","182/451",25.97
"183","183/451",11.31
"184","184/451",8.07
"185","185/451",6.54
"186","186/451",8.06
"187","187/451",9.74
"188","188/451",20.81
"189","189/451",8.06
"190","190/451",6.55
"191","191/451",17.68
"192","192/451",17.68
"193","193/451",25.92
"194","194/451",11.3
"195","195/451",8.07
"196","196/451",6.52
"197","197/451",8.05
"198","198/451",9.72
"199","199/451",20.87
"200","200/451",8.12
"201","201/451",6.56
"202","202/451",17.78
"203","203/451",17.74
"204","204/451",26.12
"205","205/451",11.36
"206","206/451",8.12
"207","207/451",6.55
"208","208/451",8.17
"209","209/451",9.88
"210","210/451",20.95
"211","211/451",8.11
"212","212/451",6.59
"213","213/451",17.77
"214","214/451",18.01
"215","215/451",26.34
"216","216/451",11.46
"217","217/451",8.16
"218","218/451",6.61
"219","219/451",8.16
"220","220/451",9.92
<<<<<<< HEAD
"221","221/451",21.18
"222","222/451",8.21
"223","223/451",6.68
"224","224/451",18.01
"225","225/451",18.09
"226","226/451",26.78
"227","227/451",11.34
"228","228/451",8.12
"229","229/451",6.56
"230","230/451",8.11
"231","231/451",9.78
"232","232/451",20.92
"233","233/451",8.12
"234","234/451",6.58
"235","235/451",17.79
"236","236/451",17.69
"237","237/451",26.04
"238","238/451",11.33
"239","239/451",8.09
"240","240/451",6.53
"241","241/451",8.06
"242","242/451",9.74
"243","243/451",20.96
"244","244/451",8.06
"245","245/451",6.56
"246","246/451",17.82
"247","247/451",17.66
"248","248/451",25.95
"249","249/451",11.35
"250","250/451",8.09
"251","251/451",6.53
"252","252/451",8.11
"253","253/451",9.76
"254","254/451",20.81
"255","255/451",8.06
"256","256/451",6.57
"257","257/451",17.69
"258","258/451",17.66
"259","259/451",25.9
"260","260/451",11.36
"261","261/451",8.07
"262","262/451",6.51
"263","263/451",8.09
"264","264/451",9.8
"265","265/451",20.85
"266","266/451",8.09
"267","267/451",6.54
"268","268/451",17.76
"269","269/451",17.68
"270","270/451",25.98
"271","271/451",11.32
"272","272/451",8.07
"273","273/451",6.52
"274","274/451",8.06
"275","275/451",9.71
"276","276/451",20.88
"277","277/451",8.07
"278","278/451",6.55
"279","279/451",17.66
"280","280/451",17.64
"281","281/451",25.94
"282","282/451",11.28
"283","283/451",8.06
"284","284/451",6.52
"285","285/451",8.06
"286","286/451",9.77
"287","287/451",20.85
"288","288/451",8.08
"289","289/451",6.54
"290","290/451",17.7
"291","291/451",17.64
"292","292/451",25.94
"293","293/451",11.3
"294","294/451",8.05
"295","295/451",6.52
"296","296/451",8.07
"297","297/451",9.74
"298","298/451",20.79
"299","299/451",8.06
"300","300/451",6.54
"301","301/451",17.66
"302","302/451",17.64
"303","303/451",25.9
"304","304/451",11.29
"305","305/451",8.07
"306","306/451",6.52
"307","307/451",8.07
"308","308/451",9.7
"309","309/451",20.81
"310","310/451",8.05
"311","311/451",6.55
"312","312/451",17.67
"313","313/451",17.6
"314","314/451",25.97
"315","315/451",11.3
"316","316/451",8.11
"317","317/451",6.57
"318","318/451",8.12
"319","319/451",9.75
"320","320/451",20.78
"321","321/451",8.09
"322","322/451",6.56
"323","323/451",17.77
"324","324/451",17.64
"325","325/451",26
"326","326/451",11.32
"327","327/451",8.08
"328","328/451",6.55
"329","329/451",8.09
"330","330/451",9.79
"331","331/451",20.92
"332","332/451",8.11
"333","333/451",6.57
"334","334/451",17.82
"335","335/451",17.78
"336","336/451",26.25
"337","337/451",11.4
"338","338/451",8.13
"339","339/451",6.58
"340","340/451",8.13
"341","341/451",9.85
"342","342/451",20.98
"343","343/451",8.12
"344","344/451",6.59
"345","345/451",17.85
"346","346/451",17.79
"347","347/451",26.16
"348","348/451",11.38
"349","349/451",8.13
"350","350/451",6.55
"351","351/451",8.14
"352","352/451",9.81
"353","353/451",20.94
"354","354/451",8.1
"355","355/451",6.59
"356","356/451",17.8
"357","357/451",17.75
"358","358/451",26.08
"359","359/451",11.41
"360","360/451",8.12
"361","361/451",6.57
"362","362/451",8.13
"363","363/451",9.74
"364","364/451",20.81
"365","365/451",8.06
"366","366/451",6.55
"367","367/451",17.67
"368","368/451",17.69
"369","369/451",26.08
"370","370/451",11.28
"371","371/451",8.1
"372","372/451",6.52
"373","373/451",8.06
"374","374/451",9.76
"375","375/451",20.8
"376","376/451",8.08
"377","377/451",6.54
"378","378/451",17.74
"379","379/451",17.66
"380","380/451",25.93
"381","381/451",11.31
"382","382/451",8.11
"383","383/451",6.53
"384","384/451",8.13
"385","385/451",9.72
"386","386/451",20.86
"387","387/451",8.09
"388","388/451",6.54
"389","389/451",17.69
"390","390/451",17.65
"391","391/451",25.94
"392","392/451",11.3
"393","393/451",8.07
"394","394/451",6.55
"395","395/451",8.05
"396","396/451",9.71
"397","397/451",20.82
"398","398/451",8.05
"399","399/451",6.54
"400","400/451",17.66
"401","401/451",17.62
"402","402/451",25.89
"403","403/451",11.28
"404","404/451",8.08
"405","405/451",6.51
"406","406/451",8.1
"407","407/451",9.72
"408","408/451",20.79
"409","409/451",8.04
"410","410/451",6.57
"411","411/451",17.63
"412","412/451",17.63
"413","413/451",25.87
"414","414/451",11.29
"415","415/451",8.06
"416","416/451",6.51
"417","417/451",8.03
"418","418/451",9.71
"419","419/451",20.8
"420","420/451",8.04
"421","421/451",6.61
"422","422/451",17.65
"423","423/451",17.59
"424","424/451",25.86
"425","425/451",11.37
"426","426/451",8.09
"427","427/451",6.56
"428","428/451",8.1
"429","429/451",9.76
"430","430/451",20.85
"431","431/451",8.07
"432","432/451",6.54
"433","433/451",17.7
"434","434/451",17.61
"435","435/451",25.92
"436","436/451",11.29
"437","437/451",8.07
"438","438/451",6.52
"439","439/451",8.08
"440","440/451",9.74
"441","441/451",20.94
"442","442/451",8.1
"443","443/451",6.57
"444","444/451",17.79
"445","445/451",17.7
"446","446/451",26.06
"447","447/451",11.35
"448","448/451",8.14
"449","449/451",6.57
"450","450/451",8.09
"451","451/451",9.76
