"","Step","Minutes"
"1","1/162",8.5
"2","2/162",16.57
"3","3/162",16.65
"4","4/162",8.46
"5","5/162",16.46
"6","6/162",8.34
"7","7/162",16.32
"8","8/162",8.35
"9","9/162",16.31
"10","10/162",8.33
"11","11/162",16.31
"12","12/162",8.34
"13","13/162",16.29
"14","14/162",8.33
"15","15/162",16.29
"16","16/162",8.36
"17","17/162",16.31
"18","18/162",8.35
"19","19/162",16.3
"20","20/162",8.37
"21","21/162",16.29
"22","22/162",8.32
"23","23/162",16.29
"24","24/162",8.33
"25","25/162",16.29
"26","26/162",8.36
"27","27/162",16.31
"28","28/162",8.35
"29","29/162",16.3
"30","30/162",8.35
"31","31/162",16.27
"32","32/162",8.4
"33","33/162",16.29
"34","34/162",8.36
"35","35/162",16.3
"36","36/162",8.34
"37","37/162",16.3
"38","38/162",8.35
"39","39/162",16.28
"40","40/162",8.36
"41","41/162",16.26
"42","42/162",8.31
"43","43/162",16.27
"44","44/162",8.34
"45","45/162",16.33
"46","46/162",8.33
"47","47/162",16.32
"48","48/162",8.31
"49","49/162",16.28
"50","50/162",8.34
"51","51/162",16.29
"52","52/162",8.36
"53","53/162",16.28
"54","54/162",8.32
"55","55/162",16.23
"56","56/162",8.33
"57","57/162",16.3
"58","58/162",8.34
"59","59/162",16.3
"60","60/162",8.31
"61","61/162",16.28
"62","62/162",8.37
"63","63/162",16.23
"64","64/162",8.33
"65","65/162",16.29
"66","66/162",8.32
"67","67/162",16.27
"68","68/162",8.33
"69","69/162",16.25
"70","70/162",8.32
"71","71/162",16.33
"72","72/162",8.36
"73","73/162",16.27
"74","74/162",8.33
"75","75/162",16.27
"76","76/162",8.36
"77","77/162",16.33
"78","78/162",8.34
"79","79/162",16.23
"80","80/162",8.34
"81","81/162",16.33
"82","82/162",8.36
"83","83/162",16.37
"84","84/162",8.37
"85","85/162",16.33
"86","86/162",8.34
"87","87/162",16.35
"88","88/162",8.4
"89","89/162",16.5
"90","90/162",8.45
"91","91/162",16.46
"92","92/162",8.39
"93","93/162",16.8
"94","94/162",8.42
"95","95/162",16.63
"96","96/162",8.4
"97","97/162",17.13
"98","98/162",8.65
"99","99/162",17.07
"100","100/162",8.72
"101","101/162",16.97
"102","102/162",8.43
"103","103/162",16.6
"104","104/162",8.5
"105","105/162",16.66
"106","106/162",8.54
"107","107/162",16.55
"108","108/162",8.66
"109","109/162",16.54
"110","110/162",8.45
"111","111/162",16.78
"112","112/162",8.66
"113","113/162",16.53
"114","114/162",8.36
"115","115/162",16.36
"116","116/162",8.44
"117","117/162",16.38
"118","118/162",8.38
"119","119/162",16.39
"120","120/162",8.39
"121","121/162",16.37
"122","122/162",8.36
"123","123/162",16.34
"124","124/162",8.36
"125","125/162",16.35
"126","126/162",8.37
"127","127/162",16.35
"128","128/162",8.37
"129","129/162",16.36
"130","130/162",8.36
"131","131/162",16.37
"132","132/162",8.39
"133","133/162",16.46
"134","134/162",8.34
"135","135/162",16.35
"136","136/162",8.41
"137","137/162",16.33
"138","138/162",8.36
"139","139/162",16.4
"140","140/162",8.35
"141","141/162",16.32
"142","142/162",8.4
"143","143/162",16.34
"144","144/162",8.36
"145","145/162",16.32
"146","146/162",8.36
"147","147/162",16.35
"148","148/162",8.44
"149","149/162",16.35
"150","150/162",8.35
"151","151/162",16.46
"152","152/162",8.41
"153","153/162",16.33
"154","154/162",8.37
"155","155/162",16.32
"156","156/162",8.35
"157","157/162",16.3
"158","158/162",8.39
"159","159/162",16.28
"160","160/162",8.35
"161","161/162",16.32
"162","162/162",8.35
