"","Step","Minutes"
"1","1/174",23.32
"2","2/174",10.2
"3","3/174",29.45
"4","4/174",29.46
"5","5/174",11.32
"6","6/174",23.78
"7","7/174",29.61
"8","8/174",11.82
"9","9/174",23.24
"10","10/174",29.05
"11","11/174",11.35
"12","12/174",23.1
"13","13/174",29.3
"14","14/174",10.54
"15","15/174",23.57
"16","16/174",27.38
"17","17/174",9.6
"18","18/174",20.73
"19","19/174",25.9
"20","20/174",9.59
"21","21/174",20.71
"22","22/174",25.82
"23","23/174",9.6
"24","24/174",20.76
"25","25/174",25.84
"26","26/174",9.61
"27","27/174",20.7
"28","28/174",25.82
"29","29/174",9.59
"30","30/174",20.7
"31","31/174",25.83
"32","32/174",9.59
"33","33/174",20.73
"34","34/174",25.84
"35","35/174",9.58
"36","36/174",20.73
"37","37/174",25.84
"38","38/174",9.59
"39","39/174",20.73
"40","40/174",25.84
"41","41/174",9.59
"42","42/174",20.75
"43","43/174",25.8
"44","44/174",9.6
"45","45/174",20.76
"46","46/174",25.78
"47","47/174",9.58
"48","48/174",20.79
"49","49/174",25.88
"50","50/174",9.59
"51","51/174",20.75
"52","52/174",25.83
"53","53/174",9.66
"54","54/174",21.03
"55","55/174",25.89
"56","56/174",9.61
"57","57/174",20.81
"58","58/174",25.89
"59","59/174",9.62
"60","60/174",20.86
"61","61/174",26
"62","62/174",9.61
"63","63/174",20.98
"64","64/174",26.5
"65","65/174",9.64
"66","66/174",20.9
