"","Step","Minutes"
"1","1/246",6.83
"2","2/246",8.56
"3","3/246",11.88
"4","4/246",26.91
"5","5/246",18.6
"6","6/246",18.51
"7","7/246",18.24
"8","8/246",18.26
"9","9/246",26.05
"10","10/246",11.32
"11","11/246",8.1
"12","12/246",6.55
"13","13/246",17.76
"14","14/246",17.66
"15","15/246",25.94
"16","16/246",11.34
"17","17/246",8.1
"18","18/246",6.53
"19","19/246",17.82
"20","20/246",17.62
"21","21/246",25.94
"22","22/246",11.35
"23","23/246",8.08
"24","24/246",6.52
"25","25/246",17.7
"26","26/246",17.6
"27","27/246",25.84
"28","28/246",11.27
"29","29/246",8.05
"30","30/246",6.51
"31","31/246",17.69
"32","32/246",17.56
"33","33/246",25.85
"34","34/246",11.27
"35","35/246",8.05
"36","36/246",6.52
"37","37/246",17.65
"38","38/246",22.23
"39","39/246",25.97
"40","40/246",11.24
"41","41/246",8.05
"42","42/246",6.52
"43","43/246",17.64
"44","44/246",17.55
"45","45/246",25.79
"46","46/246",11.23
"47","47/246",8.05
"48","48/246",6.53
"49","49/246",17.63
"50","50/246",17.52
"51","51/246",25.78
"52","52/246",11.22
"53","53/246",8.03
"54","54/246",6.49
"55","55/246",17.6
"56","56/246",17.53
"57","57/246",25.74
"58","58/246",11.24
"59","59/246",8.03
"60","60/246",6.48
"61","61/246",17.62
"62","62/246",17.51
"63","63/246",25.75
"64","64/246",11.22
"65","65/246",8.03
"66","66/246",6.55
"67","67/246",17.59
"68","68/246",17.49
"69","69/246",25.82
"70","70/246",11.31
"71","71/246",8.09
"72","72/246",6.55
"73","73/246",19.77
"74","74/246",17.9
"75","75/246",27.07
"76","76/246",16.33
"77","77/246",11.7
"78","78/246",10.1
"79","79/246",25.51
"80","80/246",17.72
"81","81/246",27.9
"82","82/246",17.94
"83","83/246",12.93
"84","84/246",11.23
"85","85/246",29.15
"86","86/246",28.06
"87","87/246",41.67
"88","88/246",19.32
"89","89/246",14.09
"90","90/246",11.29
"91","91/246",29.82
"92","92/246",30.21
"93","93/246",44.2
"94","94/246",18.96
"95","95/246",12.46
"96","96/246",10.89
"97","97/246",28.91
"98","98/246",29.35
"99","99/246",43.05
"100","100/246",17.58
"101","101/246",13.06
"102","102/246",9.97
"103","103/246",27.94
"104","104/246",28
"105","105/246",41.26
"106","106/246",18.54
"107","107/246",12.98
"108","108/246",10.15
"109","109/246",28.18
"110","110/246",28.11
"111","111/246",41.15
"112","112/246",18.35
"113","113/246",12.71
"114","114/246",10.63
"115","115/246",28.7
"116","116/246",29.79
"117","117/246",41.54
"118","118/246",17.66
"119","119/246",12.42
"120","120/246",11.1
"121","121/246",27.85
"122","122/246",27.72
"123","123/246",41.27
"124","124/246",17.85
"125","125/246",12.63
"126","126/246",10.84
"127","127/246",28.04
"128","128/246",27.56
"129","129/246",39.61
"130","130/246",17.97
"131","131/246",8.08
"132","132/246",6.51
"133","133/246",17.75
"134","134/246",17.53
"135","135/246",25.86
"136","136/246",11.3
"137","137/246",8.04
"138","138/246",6.52
"139","139/246",17.63
"140","140/246",17.57
"141","141/246",25.82
"142","142/246",11.27
"143","143/246",8.05
"144","144/246",6.52
"145","145/246",17.68
"146","146/246",23.03
"147","147/246",38.28
"148","148/246",16.4
"149","149/246",12.39
"150","150/246",10.21
"151","151/246",27.36
"152","152/246",25.97
"153","153/246",38.7
"154","154/246",16.41
"155","155/246",11.7
"156","156/246",9.75
"157","157/246",29.68
"158","158/246",28.51
"159","159/246",42.47
"160","160/246",18.92
"161","161/246",13.76
"162","162/246",9.97
"163","163/246",29.02
"164","164/246",27.23
"165","165/246",40.7
"166","166/246",17.62
"167","167/246",13.07
"168","168/246",10.87
"169","169/246",27.89
"170","170/246",27.4
"171","171/246",39.21
"172","172/246",17.2
"173","173/246",12.65
"174","174/246",10.25
"175","175/246",27.27
"176","176/246",26.78
"177","177/246",40.24
"178","178/246",17.05
"179","179/246",12.92
"180","180/246",10.24
"181","181/246",27.06
"182","182/246",26.75
"183","183/246",40.8
"184","184/246",17.19
"185","185/246",12.35
"186","186/246",10.12
"187","187/246",27.42
"188","188/246",27.71
"189","189/246",39.95
"190","190/246",17.2
"191","191/246",12.47
"192","192/246",10.39
"193","193/246",27.19
"194","194/246",27.63
"195","195/246",39.68
"196","196/246",15.38
"197","197/246",8.11
"198","198/246",6.52
"199","199/246",17.69
"200","200/246",17.6
"201","201/246",25.85
"202","202/246",11.29
"203","203/246",8.06
"204","204/246",6.5
"205","205/246",21.61
"206","206/246",25.52
"207","207/246",37.4
"208","208/246",17.5
"209","209/246",10.74
"210","210/246",8.88
"211","211/246",25.84
"212","212/246",25.7
"213","213/246",38.66
"214","214/246",16.48
"215","215/246",11.07
"216","216/246",9.65
"217","217/246",26.49
"218","218/246",19.41
"219","219/246",25.87
"220","220/246",11.33
"221","221/246",8.07
"222","222/246",6.53
"223","223/246",17.74
"224","224/246",17.6
"225","225/246",25.9
"226","226/246",11.33
"227","227/246",8.09
"228","228/246",6.53
"229","229/246",17.69
"230","230/246",17.6
"231","231/246",25.92
"232","232/246",11.28
"233","233/246",8.07
"234","234/246",6.52
"235","235/246",17.72
"236","236/246",17.63
"237","237/246",25.9
"238","238/246",11.33
"239","239/246",8.07
"240","240/246",6.53
"241","241/246",19.35
"242","242/246",21.93
"243","243/246",29.19
"244","244/246",11.36
"245","245/246",8.08
"246","246/246",6.52
