"","Step","Minutes"
"1","1/123",8.13
"2","2/123",10.9
"3","3/123",28.19
"4","4/123",27.95
"5","5/123",10.99
"6","6/123",8.82
"7","7/123",28.22
"8","8/123",10.92
"9","9/123",8.84
"10","10/123",26.8
"11","11/123",11
"12","12/123",8.88
"13","13/123",27.65
"14","14/123",10.93
"15","15/123",8.76
"16","16/123",28.06
"17","17/123",10.06
"18","18/123",6.58
"19","19/123",20.88
"20","20/123",8.09
"21","21/123",6.57
"22","22/123",20.8
"23","23/123",8.1
"24","24/123",6.58
"25","25/123",20.83
"26","26/123",8.07
"27","27/123",6.59
"28","28/123",20.85
"29","29/123",8.08
"30","30/123",6.56
"31","31/123",20.92
"32","32/123",8.1
"33","33/123",6.57
"34","34/123",20.79
"35","35/123",8.07
"36","36/123",6.56
"37","37/123",20.79
"38","38/123",8.07
"39","39/123",6.56
"40","40/123",20.81
"41","41/123",8.07
"42","42/123",6.57
"43","43/123",20.82
"44","44/123",8.07
"45","45/123",6.56
"46","46/123",20.96
"47","47/123",8.08
"48","48/123",6.56
"49","49/123",20.84
"50","50/123",8.08
"51","51/123",6.57
"52","52/123",20.86
"53","53/123",8.07
"54","54/123",6.57
"55","55/123",20.84
"56","56/123",8.06
"57","57/123",6.55
"58","58/123",20.82
"59","59/123",8.09
"60","60/123",6.55
"61","61/123",20.81
"62","62/123",8.06
"63","63/123",6.56
"64","64/123",20.83
"65","65/123",8.08
"66","66/123",6.56
"67","67/123",20.78
"68","68/123",8.06
"69","69/123",6.55
"70","70/123",20.81
"71","71/123",8.07
"72","72/123",6.57
"73","73/123",20.84
"74","74/123",8.07
"75","75/123",6.56
"76","76/123",20.8
"77","77/123",8.06
"78","78/123",6.59
"79","79/123",20.85
"80","80/123",8.08
"81","81/123",6.57
"82","82/123",20.79
"83","83/123",8.07
"84","84/123",6.58
"85","85/123",20.8
"86","86/123",8.07
"87","87/123",6.58
"88","88/123",20.87
"89","89/123",8.11
"90","90/123",6.63
"91","91/123",20.96
"92","92/123",8.19
"93","93/123",8.52
"94","94/123",28.22
"95","95/123",11.01
"96","96/123",8.73
"97","97/123",26.63
"98","98/123",10.85
"99","99/123",8.93
"100","100/123",28.16
"101","101/123",11.05
"102","102/123",8.91
"103","103/123",27.65
"104","104/123",10.93
"105","105/123",8.9
"106","106/123",28
"107","107/123",10.93
"108","108/123",8.86
"109","109/123",27.58
"110","110/123",10.63
"111","111/123",9.08
"112","112/123",28.67
"113","113/123",11.14
"114","114/123",8.73
"115","115/123",27.23
"116","116/123",11.03
"117","117/123",8.93
"118","118/123",27.73
"119","119/123",10.88
"120","120/123",8.85
"121","121/123",27.31
"122","122/123",10.67
"123","123/123",8.93
