"","Step","Minutes"
"1","1/66",8.52
"2","2/66",6.76
"3","3/66",5.16
"4","4/66",6.7
"5","5/66",9.96
"6","6/66",6.84
"7","7/66",16.35
"8","8/66",16.42
"9","9/66",3.56
"10","10/66",3.54
"11","11/66",19.5
"12","12/66",19.48
"13","13/66",3.59
"14","14/66",3.61
"15","15/66",16.37
"16","16/66",16.31
"17","17/66",6.75
"18","18/66",9.91
"19","19/66",6.75
"20","20/66",5.16
"21","21/66",6.66
"22","22/66",8.35
"23","23/66",19.44
"24","24/66",3.56
"25","25/66",3.59
"26","26/66",16.32
"27","27/66",16.25
"28","28/66",6.74
"29","29/66",9.91
"30","30/66",6.69
"31","31/66",5.19
"32","32/66",6.7
"33","33/66",8.37
"34","34/66",19.45
"35","35/66",3.56
"36","36/66",3.59
"37","37/66",16.26
"38","38/66",16.23
"39","39/66",6.78
"40","40/66",9.92
"41","41/66",6.71
"42","42/66",5.14
"43","43/66",6.66
"44","44/66",8.31
"45","45/66",19.43
"46","46/66",3.56
"47","47/66",3.57
"48","48/66",16.28
"49","49/66",16.2
"50","50/66",6.75
"51","51/66",9.92
"52","52/66",6.71
"53","53/66",5.14
"54","54/66",6.69
"55","55/66",8.3
"56","56/66",19.44
"57","57/66",3.57
"58","58/66",3.61
"59","59/66",16.28
"60","60/66",16.27
"61","61/66",6.77
"62","62/66",9.9
"63","63/66",6.68
"64","64/66",5.17
"65","65/66",6.69
"66","66/66",8.31
