"","Step","Minutes"
"1","1/255",6.99
"2","2/255",6.92
"3","3/255",6.88
"4","4/255",17.17
"5","5/255",3.72
"6","6/255",3.59
"7","7/255",17.23
"8","8/255",7.11
"9","9/255",7.12
"10","10/255",7.04
"11","11/255",3.79
"12","12/255",16.83
"13","13/255",6.81
"14","14/255",6.81
"15","15/255",6.81
"16","16/255",3.64
"17","17/255",16.78
"18","18/255",7
"19","19/255",7.11
"20","20/255",7.12
"21","21/255",3.73
"22","22/255",16.35
"23","23/255",6.73
"24","24/255",6.69
"25","25/255",6.66
"26","26/255",3.55
"27","27/255",16.46
"28","28/255",6.91
"29","29/255",6.73
"30","30/255",7.1
"31","31/255",3.74
"32","32/255",17.57
"33","33/255",6.85
"34","34/255",7.31
"35","35/255",6.67
"36","36/255",3.55
"37","37/255",16.26
"38","38/255",6.75
"39","39/255",6.68
"40","40/255",6.65
"41","41/255",3.55
"42","42/255",16.28
"43","43/255",6.73
"44","44/255",6.67
"45","45/255",6.66
"46","46/255",3.55
"47","47/255",16.28
"48","48/255",6.73
"49","49/255",6.69
"50","50/255",6.66
"51","51/255",3.56
"52","52/255",16.27
"53","53/255",6.74
"54","54/255",6.67
"55","55/255",6.64
"56","56/255",3.52
"57","57/255",16.29
"58","58/255",6.75
"59","59/255",6.69
"60","60/255",6.66
"61","61/255",3.54
"62","62/255",16.28
"63","63/255",6.72
"64","64/255",6.65
"65","65/255",6.67
"66","66/255",3.54
"67","67/255",16.25
"68","68/255",6.71
"69","69/255",6.66
"70","70/255",6.68
"71","71/255",3.54
"72","72/255",16.25
"73","73/255",6.74
"74","74/255",6.68
"75","75/255",6.63
"76","76/255",3.53
"77","77/255",16.26
"78","78/255",6.7
"79","79/255",6.67
"80","80/255",6.62
"81","81/255",3.53
"82","82/255",16.23
"83","83/255",6.71
"84","84/255",6.66
"85","85/255",6.64
"86","86/255",3.52
"87","87/255",16.24
"88","88/255",6.71
"89","89/255",6.66
"90","90/255",6.62
"91","91/255",3.53
"92","92/255",16.2
"93","93/255",6.74
"94","94/255",6.66
"95","95/255",6.63
"96","96/255",3.55
"97","97/255",16.28
"98","98/255",6.74
"99","99/255",6.67
"100","100/255",6.64
"101","101/255",3.53
"102","102/255",16.23
"103","103/255",6.72
"104","104/255",6.68
"105","105/255",6.65
"106","106/255",3.53
"107","107/255",16.23
"108","108/255",6.71
"109","109/255",6.67
"110","110/255",6.66
"111","111/255",3.53
"112","112/255",16.19
"113","113/255",6.73
"114","114/255",6.64
"115","115/255",6.62
"116","116/255",3.54
"117","117/255",16.25
"118","118/255",6.71
"119","119/255",6.67
"120","120/255",6.64
"121","121/255",3.52
"122","122/255",16.27
"123","123/255",6.76
"124","124/255",6.7
"125","125/255",6.62
"126","126/255",3.54
"127","127/255",16.23
"128","128/255",6.71
"129","129/255",6.71
"130","130/255",6.64
"131","131/255",3.53
"132","132/255",16.25
"133","133/255",6.7
"134","134/255",6.67
"135","135/255",6.63
"136","136/255",3.53
"137","137/255",16.21
"138","138/255",6.73
"139","139/255",6.66
"140","140/255",6.61
"141","141/255",3.55
"142","142/255",16.22
"143","143/255",6.71
"144","144/255",6.66
"145","145/255",6.64
"146","146/255",3.53
"147","147/255",16.24
"148","148/255",6.72
"149","149/255",6.67
"150","150/255",6.61
"151","151/255",3.53
"152","152/255",16.21
"153","153/255",6.7
"154","154/255",6.65
"155","155/255",6.62
"156","156/255",3.54
"157","157/255",16.49
"158","158/255",6.87
"159","159/255",6.75
"160","160/255",6.73
"161","161/255",3.6
"162","162/255",16.22
"163","163/255",6.72
"164","164/255",6.65
"165","165/255",6.6
"166","166/255",3.53
"167","167/255",16.4
"168","168/255",6.82
"169","169/255",6.75
"170","170/255",6.72
"171","171/255",3.61
"172","172/255",16.22
"173","173/255",6.71
"174","174/255",6.64
"175","175/255",6.65
"176","176/255",3.56
"177","177/255",16.21
"178","178/255",6.73
"179","179/255",6.68
"180","180/255",6.62
"181","181/255",3.55
"182","182/255",16.28
"183","183/255",6.7
"184","184/255",6.67
"185","185/255",6.63
"186","186/255",3.52
"187","187/255",16.29
"188","188/255",6.77
"189","189/255",6.67
"190","190/255",6.6
"191","191/255",3.53
"192","192/255",16.22
"193","193/255",6.7
"194","194/255",6.65
"195","195/255",6.63
"196","196/255",3.54
"197","197/255",16.25
"198","198/255",6.74
"199","199/255",6.65
"200","200/255",6.62
"201","201/255",3.53
"202","202/255",16.26
"203","203/255",6.73
"204","204/255",6.64
"205","205/255",6.65
"206","206/255",3.55
"207","207/255",16.22
"208","208/255",6.73
"209","209/255",6.65
"210","210/255",6.62
"211","211/255",3.55
"212","212/255",16.17
"213","213/255",6.7
"214","214/255",6.63
"215","215/255",6.61
"216","216/255",3.56
"217","217/255",16.21
"218","218/255",6.75
"219","219/255",6.69
"220","220/255",6.61
"221","221/255",3.55
"222","222/255",16.23
"223","223/255",6.7
"224","224/255",6.64
"225","225/255",6.62
"226","226/255",3.52
"227","227/255",16.27
"228","228/255",6.7
"229","229/255",6.66
"230","230/255",6.62
"231","231/255",3.52
"232","232/255",16.21
"233","233/255",6.7
"234","234/255",6.65
"235","235/255",6.63
"236","236/255",3.52
"237","237/255",16.2
"238","238/255",6.71
"239","239/255",6.63
"240","240/255",6.6
"241","241/255",3.54
"242","242/255",16.26
"243","243/255",6.7
"244","244/255",6.67
"245","245/255",6.6
"246","246/255",3.53
"247","247/255",16.19
"248","248/255",6.7
"249","249/255",6.67
"250","250/255",6.62
"251","251/255",3.53
"252","252/255",16.22
"253","253/255",6.75
"254","254/255",6.65
"255","255/255",6.64
