"","Step","Minutes"
"1","1/82",6.62
"2","2/82",25.95
"3","3/82",25.93
"4","4/82",6.59
"5","5/82",25.95
"6","6/82",6.55
"7","7/82",25.96
"8","8/82",6.56
"9","9/82",25.91
"10","10/82",6.55
"11","11/82",25.91
"12","12/82",6.55
"13","13/82",26.02
"14","14/82",6.55
"15","15/82",25.92
"16","16/82",6.56
"17","17/82",25.96
"18","18/82",6.57
"19","19/82",25.94
"20","20/82",6.58
"21","21/82",25.97
"22","22/82",6.56
"23","23/82",25.97
"24","24/82",6.57
"25","25/82",25.99
"26","26/82",6.57
"27","27/82",25.97
"28","28/82",6.56
"29","29/82",26.01
"30","30/82",6.59
"31","31/82",25.91
"32","32/82",6.59
"33","33/82",26
"34","34/82",6.57
"35","35/82",25.98
"36","36/82",6.57
"37","37/82",25.96
"38","38/82",6.58
"39","39/82",25.93
"40","40/82",6.57
"41","41/82",25.91
"42","42/82",6.55
"43","43/82",25.93
"44","44/82",6.55
"45","45/82",25.95
"46","46/82",6.57
"47","47/82",25.9
"48","48/82",6.56
"49","49/82",25.88
"50","50/82",6.57
"51","51/82",25.92
"52","52/82",6.56
"53","53/82",25.88
"54","54/82",6.56
"55","55/82",25.89
"56","56/82",6.54
"57","57/82",25.91
"58","58/82",6.55
"59","59/82",25.9
"60","60/82",6.56
"61","61/82",25.93
"62","62/82",6.55
"63","63/82",25.93
"64","64/82",6.56
"65","65/82",25.93
"66","66/82",6.55
"67","67/82",25.95
"68","68/82",6.54
"69","69/82",25.87
"70","70/82",6.55
"71","71/82",25.95
"72","72/82",6.55
"73","73/82",25.93
"74","74/82",6.56
"75","75/82",25.92
"76","76/82",6.63
"77","77/82",25.89
"78","78/82",6.56
"79","79/82",25.89
"80","80/82",6.58
"81","81/82",25.93
"82","82/82",6.55
