"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,1,10.7241751352946
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,2,9.80843956867854
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,4,11.1740944266319
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,8,10.565256134669
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,16,10.4011671543121
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,32,11.0643259843191
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,64,10.9674535155296
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,128,11.4412371555964
"shuffle","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,0,0,0,0,0,0,256,11.7165214260419
"shuffle","49UCP","49UCP_original","2020",TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,0,0,0,0,0,0,1,7.91192064682643
"shuffle","49UCP","49UCP_original","2020",TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,0,0,0,0,0,0,2,9.4745103875796
"shuffle","49UCP","49UCP_original","2020",TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,0,0,0,0,0,0,4,8.565172123909
