mode,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,32TMT,32TMT_shuffle_15.0_ 32x 32_ST512,2020,FALSE,15.1574298921714,-0.834452615284407,1.52539618662646,-5.21797615068374,9.53856549355766,1.52539618662646,2.88821321930443,0.960259560141642,8.91120052095893,-0.85389627122232,-8.74437078704658,0.9554677018325,0,0,0,-2,-1,15,32
shuffle,32UQU,32UQU_shuffle_15.0_ 32x 32_ST512,2020,FALSE,7.98589764391034,-1.4465319939208,1.82893510737813,-15.3357305536541,19.3898621839989,1.82893510737813,3.98034671623868,0.901397954441877,7.50039062486801,-1.05035104225171,-12.2837419622983,1.44653199392176,0,-1,-1,-3,-3,15,32
shuffle,33NTG,33NTG_shuffle_15.0_ 32x 32_ST512,2020,FALSE,21.0842701609024,-1.19572226378256,1.8644228982432,-5.36679834081887,8.36814870806478,1.8644228982432,5.13998469692464,0.949251790545374,15.6466086237139,-0.0847131830034886,-0.538500095823578,1.21921317457171,0,0,-3,-1,0,15,32
shuffle,32TMT,32TMT_shuffle_20.0_ 32x 32_ST512,2020,FALSE,14.8883793616013,-1.10350314585441,1.98400189002058,-6.90039553091975,12.406306068692,1.98400189002058,3.47056497475581,0.943436606151903,8.62559968601316,-1.13949710616809,-11.6690815300516,1.26640150468902,0,1,0,-3,-2,20,32
shuffle,32UQU,32UQU_shuffle_20.0_ 32x 32_ST512,2020,FALSE,7.57679198088127,-1.85563765694986,2.31844439833115,-19.672955200295,24.579503768917,2.31844439833115,4.61605529654634,0.869847253465587,7.17167422809269,-1.37906743902703,-16.1280447090336,1.85563765695069,0,-1,-1,-4,-3,20,32
shuffle,33NTG,33NTG_shuffle_20.0_ 32x 32_ST512,2020,FALSE,20.7093767937898,-1.57061563089512,2.44426241551952,-7.04944418722048,10.9706608913001,2.44426241551952,5.99519172971671,0.931878783097581,15.6122446528959,-0.119077153821522,-0.756943092796403,1.60215422767398,0,0,-4,-1,0,20,32
shuffle,32TMT,32TMT_shuffle_25.0_ 32x 32_ST512,2020,FALSE,14.7754980800358,-1.21651623262627,2.38815884897644,-7.60702316069759,14.9334461706026,2.38815884897644,3.96368044300964,0.92426193611789,8.44801785950024,-1.31708483369584,-13.4876700745147,1.45202329671767,0,1,0,-3,-2,25,32
shuffle,32UQU,32UQU_shuffle_25.0_ 32x 32_ST512,2020,FALSE,7.2006627442912,-2.23176689353994,2.76798547527989,-23.6605729301057,29.3454134465863,2.76798547527989,5.18172314525397,0.838007247707801,6.84955315142462,-1.7011885156951,-19.8952158996535,2.23176689353877,0,-1,-1,-5,-4,25,32
shuffle,33NTG,33NTG_shuffle_25.0_ 32x 32_ST512,2020,FALSE,20.3622314211397,-1.91776100354526,2.97733129569941,-8.60754782582642,13.3632509336076,2.97733129569941,6.7171533935601,0.915436200191665,15.566043375257,-0.165278431460356,-1.05063282978409,1.95691991036631,0,0,-5,-1,0,25,32
shuffle,32TMT,32TMT_shuffle_30.0_ 32x 32_ST512,2020,FALSE,14.4061577123103,-1.5857247951455,2.81499715145119,-9.9158106896183,17.6026627893169,2.81499715145119,4.46060429102892,0.90760580984426,8.10416591815836,-1.66093087402289,-17.0088521329637,1.82917141647127,0,1,-1,-4,-3,30,32
shuffle,32UQU,32UQU_shuffle_30.0_ 32x 32_ST512,2020,FALSE,6.90082316735799,-2.53160647047315,3.13339805861861,-26.8393888709173,33.2194161942255,3.13339805861861,5.61392385066064,0.81134158841625,6.5885212953661,-1.96222037175362,-22.9479552551444,2.53160647047194,0,-1,-1,-6,-5,30,32
shuffle,33NTG,33NTG_shuffle_30.0_ 32x 32_ST512,2020,FALSE,20.0565009164524,-2.22349150823255,3.46460343148432,-9.97976779278008,15.5502899886345,3.46460343148432,7.36069844244992,0.89930839960194,15.5285619313591,-0.202759875358266,-1.28889280792467,2.26882528464817,0,0,-6,-1,0,30,32
shuffle,32TMT,32TMT_shuffle_50.0_ 32x 32_ST512,2020,FALSE,13.5326690662185,-2.45921344123727,4.46290710991734,-15.3778858748539,27.9073280324354,4.46290710991734,6.36359278666527,0.802470267377481,7.131575688729,-2.63352110345225,-26.9687147961592,2.85869387233849,0,1,-1,-6,-5,50,32
shuffle,32UQU,32UQU_shuffle_50.0_ 32x 32_ST512,2020,FALSE,5.87859366251031,-3.55383597532083,4.46719732888431,-37.6767822477813,47.3599857131983,4.46719732888431,7.16969821337704,0.685900305839906,5.62547292458777,-2.92526874253196,-34.2107019064853,3.55383597531968,0,-1,-2,-8,-8,50,32
shuffle,33NTG,33NTG_shuffle_50.0_ 32x 32_ST512,2020,FALSE,18.9852974017655,-3.29469502291939,5.38703706458646,-14.7876846639726,24.1788101266046,5.38703706458646,9.64815201046918,0.829783247907606,15.3237146785036,-0.40760712821376,-2.59105454215366,3.36728236666838,0,0,-10,-2,-1,50,32
shuffle,32TMT,32TMT_shuffle_65.0_ 32x 32_ST512,2020,FALSE,13.0322806123837,-2.95960189507202,5.60889543184551,-18.50690119623,35.0733906982528,5.60889543184551,7.62540412488336,0.694678781920323,6.56512451998706,-3.19997227219418,-32.7694885191138,3.45229523843203,0,1,-2,-7,-7,65,32
shuffle,32UQU,32UQU_shuffle_65.0_ 32x 32_ST512,2020,FALSE,5.38099403096917,-4.05143560686196,5.24592670670703,-42.9521953772405,55.6158583538956,5.24592670670703,8.0210940846538,0.587087975163435,5.11706758567484,-3.43367408144488,-40.1564474184553,4.05143560686346,0,-1,-2,-9,-9,65,32
shuffle,33NTG,33NTG_shuffle_65.0_ 32x 32_ST512,2020,FALSE,18.4294086063112,-3.85058381837377,6.68113399879797,-17.2826980592128,29.987146635632,6.68113399879797,11.0833828616239,0.774668503504663,15.1952349836094,-0.536086823107972,-3.40776719016109,3.93664173631688,0,0,-12,-2,-1,65,32
shuffle,32TMT,32TMT_shuffle_80.0_ 32x 32_ST512,2020,FALSE,12.6534331105068,-3.33844939694897,6.75396058561823,-20.8758999785829,42.233680634343,6.75396058561823,8.8587675578057,0.548155839868091,6.14514326386002,-3.61995352832122,-37.070329207793,3.88410157588678,0,1,-2,-8,-8,80,32
shuffle,32UQU,32UQU_shuffle_80.0_ 32x 32_ST512,2020,FALSE,5.07008638873151,-4.36234324909963,5.91992093276384,-46.2483518732369,62.7613579964647,5.91992093276384,8.70961118091445,0.478748493501259,4.77930362958524,-3.77143803753448,-44.1065603938994,4.36234324909895,0,-2,-2,-9,-11,80,32
shuffle,33NTG,33NTG_shuffle_80.0_ 32x 32_ST512,2020,FALSE,18.0540266507262,-4.22596577395871,7.94360274512839,-18.9675368528249,35.6535253410918,7.94360274512839,12.4213713818251,0.713525121891606,15.0913372743452,-0.639984532372166,-4.06821842585973,4.32338971960375,0,0,-13,-2,-1,80,32
shuffle,32TMT,32TMT_shuffle_100.0_ 32x 32_ST512,2020,FALSE,12.3600107503147,-3.63187175714107,8.32632710980707,-22.7107206137102,52.0659597512998,8.32632710980707,10.492976644633,0.289528198776308,5.91732146133556,-3.84777533084569,-39.4033506552289,4.15397432588536,0,1,-2,-9,-8,100,32
shuffle,32UQU,32UQU_shuffle_100.0_ 32x 32_ST512,2020,FALSE,4.89119386464296,-4.54123577318818,6.77242210110965,-48.1449207421003,71.7993386767195,6.77242210110965,9.51117130230011,0.309658901189293,4.58050306505606,-3.97023860206366,-46.4315115182402,4.54123577318986,0,-2,-2,-9,-12,100,32
shuffle,33NTG,33NTG_shuffle_100.0_ 32x 32_ST512,2020,FALSE,17.8559037748286,-4.42408864985632,9.66071315959709,-19.8567780703313,43.3604867337997,9.66071315959709,14.1871859003371,0.616456517965337,15.0150169576808,-0.716304849036556,-4.55336721120719,4.52812716332036,0,0,-13,-3,-1,100,32
shuffle,32TMT,32TMT_shuffle_2.5_ 64x 64_ST512,2020,FALSE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,2.5,64
shuffle,32UQU,32UQU_shuffle_2.5_ 64x 64_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,2.5,64
shuffle,33NTG,33NTG_shuffle_2.5_ 64x 64_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,2.5,64
shuffle,32TMT,32TMT_shuffle_5.0_ 64x 64_ST512,2020,FALSE,15.7084146825393,-0.283467824916434,0.554458214554866,-1.77257320884064,3.46712286246704,0.554458214554866,1.66783045118769,0.985830579823794,9.49204827587886,-0.273048516302383,-2.7961680474177,0.320449636714501,0,0,0,-1,0,5,64
shuffle,32UQU,32UQU_shuffle_5.0_ 64x 64_ST512,2020,FALSE,8.91479915593979,-0.51763048189135,0.682798610538732,-5.48777464308096,7.23884128221,0.682798610538732,2.37240817092126,0.962653702927543,8.19685362480934,-0.353888042310382,-4.13868242179731,0.517630481891573,0,0,0,-1,-1,5,64
shuffle,33NTG,33NTG_shuffle_5.0_ 64x 64_ST512,2020,FALSE,21.9113286475809,-0.36866377710399,0.608669623226773,-1.65468537904677,2.73191126650655,0.608669623226773,2.95086517909735,0.982678062272661,15.7280305800635,-0.00329122665388049,-0.0209214883168629,0.374949309571776,0,0,0,0,0,5,64
shuffle,32TMT,32TMT_shuffle_10.0_ 64x 64_ST512,2020,FALSE,15.4261279248317,-0.565754582624013,1.06946984442459,-3.53776100068423,6.68757942616187,1.06946984442459,2.44461953164117,0.970243485456391,9.21853395046147,-0.546562841719773,-5.59710623818288,0.638367088740212,0,0,0,-1,-1,10,64
shuffle,32UQU,32UQU_shuffle_10.0_ 64x 64_ST512,2020,FALSE,8.46218408209542,-0.970245555735719,1.25864254099176,-10.2862739823079,13.3437787433224,1.25864254099176,3.30139664149042,0.929458860213432,7.86748940450481,-0.683252262614907,-7.99056139471768,0.970245555736053,0,0,-1,-2,-2,10,64
shuffle,33NTG,33NTG_shuffle_10.0_ 64x 64_ST512,2020,FALSE,21.5450446908709,-0.734947733813996,1.20652871413482,-3.29868933438109,5.4153012763059,1.20652871413482,4.24632119032062,0.964645822748562,15.7246124496557,-0.00670935706170539,-0.0426496714271044,0.74726682006332,0,0,-1,0,0,10,64
shuffle,32TMT,32TMT_shuffle_15.0_ 64x 64_ST512,2020,FALSE,15.1667113321728,-0.825171175282957,1.53536954918224,-5.15993770525918,9.60093065007464,1.53536954918224,3.07084772574457,0.953698144115933,8.96194468696795,-0.803152105213298,-8.22472242012357,0.932611997415485,0,0,0,-2,-1,15,64
shuffle,32UQU,32UQU_shuffle_15.0_ 64x 64_ST512,2020,FALSE,8.03906653927493,-1.39336309855621,1.781299046562,-14.7720486879411,18.8848378939149,1.781299046562,4.02481323602975,0.897355455214151,7.53797668358833,-1.01276498353139,-11.8441770662513,1.39336309855654,0,-1,-1,-3,-2,15,64
shuffle,33NTG,33NTG_shuffle_15.0_ 64x 64_ST512,2020,FALSE,21.1928923238434,-1.08710010084154,1.77194278257538,-4.87926602540986,7.9530672578334,1.77194278257538,5.22096442780239,0.947246503770122,15.7108214137643,-0.0205003929530658,-0.130315768788812,1.10587176618663,0,0,-2,0,0,15,64
shuffle,32TMT,32TMT_shuffle_20.0_ 64x 64_ST512,2020,FALSE,14.9171924550008,-1.07469005245492,1.97282854404205,-6.72022228748789,12.3364372088294,1.97282854404205,3.59909326378288,0.937227502207141,8.70195177402521,-1.06314501815604,-10.887193857692,1.21934821859447,0,0,0,-3,-2,20,64
shuffle,32UQU,32UQU_shuffle_20.0_ 64x 64_ST512,2020,FALSE,7.65386654124034,-1.7785630965908,2.25384454630431,-18.8558321119876,23.8946340746047,2.25384454630431,4.6451277077175,0.865156510281812,7.23914754232361,-1.31159412479611,-15.3389515887212,1.77856309659143,0,-1,-1,-4,-3,20,64
shuffle,33NTG,33NTG_shuffle_20.0_ 64x 64_ST512,2020,FALSE,20.8858329226686,-1.39415950201638,2.29278445894039,-6.25745052081676,10.2907775516123,2.29278445894039,5.98669349136473,0.93132601880335,15.6872424000335,-0.0440794066838883,-0.280201544571201,1.41989982243326,0,0,-3,-1,0,20,64
shuffle,32TMT,32TMT_shuffle_25.0_ 64x 64_ST512,2020,FALSE,14.5993206793615,-1.39256182809421,2.52939223903407,-8.70792933505466,15.816726003676,2.52939223903407,4.2649932903171,0.912427364307383,8.37995837483903,-1.38513841734222,-14.1845846162147,1.58441271959298,0,1,-1,-3,-2,25,64
shuffle,32UQU,32UQU_shuffle_25.0_ 64x 64_ST512,2020,FALSE,7.2125705376024,-2.21985910022874,2.79667246531589,-23.5343298117532,29.6495449496822,2.79667246531589,5.30608315666105,0.826374691874198,6.86224468048125,-1.68849698663847,-19.7467898384916,2.21985910022825,0,-1,-1,-5,-4,25,64
shuffle,33NTG,33NTG_shuffle_25.0_ 64x 64_ST512,2020,FALSE,20.5010444615001,-1.77894796318487,2.94558552002763,-7.98450883319825,13.220765357012,2.94558552002763,6.88475801500599,0.910275699194963,15.6683828923893,-0.0629389143281127,-0.400086624006619,1.81110676427363,0,0,-4,-1,0,25,64
shuffle,32TMT,32TMT_shuffle_30.0_ 64x 64_ST512,2020,FALSE,14.3801718236102,-1.61171068384559,2.93372166858971,-10.0783049343576,18.3450676755657,2.93372166858971,4.72207895941001,0.892667666437765,8.14326933380044,-1.62182745838081,-16.6084114975632,1.83907804312312,0,1,-1,-4,-3,30,64
shuffle,32UQU,32UQU_shuffle_30.0_ 64x 64_ST512,2020,FALSE,6.89563105275968,-2.53679858507146,3.18633587999156,-26.8944342282394,33.7806482776395,3.18633587999156,5.77910461412895,0.794872567822851,6.58858989392557,-1.96215177319415,-22.9471530024025,2.53679858507317,0,-1,-1,-6,-5,30,64
shuffle,33NTG,33NTG_shuffle_30.0_ 64x 64_ST512,2020,FALSE,20.2149957733826,-2.06499665130238,3.43113209571901,-9.26839027563797,15.4000595256824,3.43113209571901,7.51298590262246,0.893975170329391,15.6400506169524,-0.0912711897649903,-0.580187671998527,2.10231242721163,0,-1,-5,-1,0,30,64
shuffle,32TMT,32TMT_shuffle_50.0_ 64x 64_ST512,2020,FALSE,13.5317811691981,-2.46010133825766,4.564877437697,-15.3834380480891,28.5449660824406,4.564877437697,6.56849531663407,0.782702783154859,7.25081546327893,-2.51428132890231,-25.7476334583335,2.82314706035588,-1,1,-1,-6,-5,50,64
shuffle,32UQU,32UQU_shuffle_50.0_ 64x 64_ST512,2020,FALSE,5.90659172990405,-3.52583790792708,4.49338976306923,-37.3799545112515,47.6376706278025,4.49338976306923,7.26287438127899,0.669771128191534,5.6868583648891,-2.86388330223062,-33.4928058140635,3.52583790792643,0,-1,-2,-8,-7,50,64
shuffle,33NTG,33NTG_shuffle_50.0_ 64x 64_ST512,2020,FALSE,19.1774833587096,-3.10250906597538,5.42719353272583,-13.9250903089984,24.3590456822275,5.42719353272583,9.88345471444324,0.819532111202511,15.4989747651063,-0.232347041611135,-1.4769708767379,3.16251500833375,0,-1,-9,-1,-1,50,64
shuffle,32TMT,32TMT_shuffle_65.0_ 64x 64_ST512,2020,FALSE,13.0685009287354,-2.92338157872035,5.64643010045426,-18.2804093098946,35.3081014559841,5.64643010045426,7.74525097819546,0.678738270831525,6.75160453910394,-3.01349225307731,-30.8598298328201,3.35767333948549,-1,1,-2,-7,-6,65,64
shuffle,32UQU,32UQU_shuffle_65.0_ 64x 64_ST512,2020,FALSE,5.4605435449906,-3.97188609284053,5.21450572172837,-42.1088335174034,55.282741795542,5.21450572172837,8.02127838192231,0.580388219903761,5.24333847446534,-3.30740319265438,-38.6797230159856,3.97188609284049,0,-2,-2,-8,-9,65,64
shuffle,33NTG,33NTG_shuffle_65.0_ 64x 64_ST512,2020,FALSE,18.6879791171009,-3.59201330758407,6.64501404387408,-16.1221477957251,29.8250282909064,6.64501404387408,11.1973500806886,0.76821903167209,15.4097460298842,-0.321575776833223,-2.04417518619387,3.6614239818645,0,-1,-11,-2,-1,65,64
shuffle,32TMT,32TMT_shuffle_80.0_ 64x 64_ST512,2020,FALSE,12.6814893241229,-3.31039318333289,6.85225922025356,-20.7004596350024,42.848358953731,6.85225922025356,9.01779047465975,0.52699068533803,6.36563438198595,-3.3994624101953,-34.8123780290349,3.78309818057548,-1,1,-2,-8,-7,80,64
shuffle,32UQU,32UQU_shuffle_80.0_ 64x 64_ST512,2020,FALSE,5.12214498360094,-4.31028465423019,5.94362631979132,-45.6964411050861,63.0126759276624,5.94362631979132,8.75087136127232,0.466714338987176,4.89082523015114,-3.65991643696858,-42.8023273237467,4.31028465422907,0,-2,-2,-9,-10,80,64
shuffle,33NTG,33NTG_shuffle_80.0_ 64x 64_ST512,2020,FALSE,18.3257255803591,-3.95426684432584,7.99377045242352,-17.7480618886779,35.8786946604474,7.99377045242352,12.6071676718057,0.703057676202336,15.3207956399431,-0.410526166774313,-2.6096101256985,4.03471425636559,0,-1,-12,-2,-1,80,64
shuffle,32TMT,32TMT_shuffle_100.0_ 64x 64_ST512,2020,FALSE,12.4001297899509,-3.59175271750489,8.41100981455351,-22.4598493381272,52.5954953122756,8.41100981455351,10.6226924575091,0.277599457220011,6.16508019960609,-3.60001659257516,-36.8661639427643,4.02775309173896,-1,1,-2,-8,-8,100,64
shuffle,32UQU,32UQU_shuffle_100.0_ 64x 64_ST512,2020,FALSE,4.9663898934506,-4.46603974438054,6.82484682264957,-47.3477133237057,72.3551310181716,6.82484682264957,9.5589208396181,0.296656035510394,4.71533550373704,-3.83540616338268,-44.8546607147661,4.46603974438068,0,-2,-2,-9,-11,100,64
shuffle,33NTG,33NTG_shuffle_100.0_ 64x 64_ST512,2020,FALSE,18.1360207716252,-4.1439716530597,9.77266759894481,-18.5995200270734,43.8629754115951,9.77266759894481,14.4214919770352,0.603342453146289,15.2722593027807,-0.45906250393671,-2.9181432404535,4.2281391028604,0,-1,-13,-2,-1,100,64
shuffle,32TMT,32TMT_shuffle_2.5_128x128_ST512,2020,FALSE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,2.5,128
shuffle,32UQU,32UQU_shuffle_2.5_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,2.5,128
shuffle,33NTG,33NTG_shuffle_2.5_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,2.5,128
shuffle,32TMT,32TMT_shuffle_5.0_128x128_ST512,2020,FALSE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,5,128
shuffle,32UQU,32UQU_shuffle_5.0_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,5,128
shuffle,33NTG,33NTG_shuffle_5.0_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,5,128
shuffle,32TMT,32TMT_shuffle_10.0_128x128_ST512,2020,FALSE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,10,128
shuffle,32UQU,32UQU_shuffle_10.0_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,10,128
shuffle,33NTG,33NTG_shuffle_10.0_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,10,128
