"","Step","Minutes"
"1","1/164",13.59
"2","2/164",10.81
"3","3/164",10.09
"4","4/164",29.39
"5","5/164",30.52
"6","6/164",11.06
"7","7/164",12.59
"8","8/164",14.64
"9","9/164",30.59
"10","10/164",11.06
"11","11/164",12.17
"12","12/164",14.47
"13","13/164",30.44
"14","14/164",11.07
"15","15/164",12.06
"16","16/164",14.39
"17","17/164",30.61
"18","18/164",11.06
"19","19/164",11.89
"20","20/164",14.47
"21","21/164",30.6
"22","22/164",11.08
"23","23/164",12.49
"24","24/164",14.45
"25","25/164",30.59
"26","26/164",11.08
"27","27/164",11.95
"28","28/164",14.48
"29","29/164",30.47
"30","30/164",11.22
"31","31/164",12.25
"32","32/164",14.65
"33","33/164",30.7
"34","34/164",11.13
"35","35/164",12.82
"36","36/164",14.56
"37","37/164",30.63
"38","38/164",11.2
"39","39/164",12.84
