"","Step","Minutes"
"1","1/123",6.65
"2","2/123",8.11
"3","3/123",20.78
"4","4/123",20.69
"5","5/123",7.99
"6","6/123",6.49
"7","7/123",20.67
"8","8/123",7.99
"9","9/123",6.48
"10","10/123",20.65
"11","11/123",7.98
"12","12/123",6.49
"13","13/123",20.69
"14","14/123",7.99
"15","15/123",6.5
"16","16/123",20.7
"17","17/123",8.01
"18","18/123",6.49
"19","19/123",20.67
"20","20/123",7.99
"21","21/123",6.5
"22","22/123",20.68
"23","23/123",7.98
"24","24/123",6.49
"25","25/123",20.68
"26","26/123",8
"27","27/123",6.48
"28","28/123",20.67
"29","29/123",7.98
"30","30/123",6.49
"31","31/123",20.72
"32","32/123",7.99
"33","33/123",6.5
"34","34/123",20.66
"35","35/123",8
"36","36/123",6.49
"37","37/123",20.67
"38","38/123",7.99
"39","39/123",6.5
"40","40/123",20.66
"41","41/123",7.98
"42","42/123",6.52
"43","43/123",20.65
"44","44/123",8.04
"45","45/123",6.5
"46","46/123",20.67
"47","47/123",7.98
"48","48/123",6.48
"49","49/123",20.67
"50","50/123",8
"51","51/123",6.48
"52","52/123",20.69
"53","53/123",7.99
"54","54/123",6.49
"55","55/123",20.67
"56","56/123",7.99
"57","57/123",6.48
"58","58/123",20.68
"59","59/123",7.98
"60","60/123",6.49
"61","61/123",20.71
"62","62/123",7.98
"63","63/123",6.49
"64","64/123",20.7
"65","65/123",7.98
"66","66/123",6.49
"67","67/123",20.68
"68","68/123",8
"69","69/123",6.51
"70","70/123",20.64
"71","71/123",8
"72","72/123",6.48
"73","73/123",20.71
"74","74/123",7.98
"75","75/123",6.5
"76","76/123",20.71
"77","77/123",7.99
"78","78/123",6.48
"79","79/123",20.7
"80","80/123",8.01
"81","81/123",6.53
"82","82/123",20.7
"83","83/123",8.02
"84","84/123",6.5
"85","85/123",20.76
"86","86/123",8
"87","87/123",6.5
"88","88/123",20.77
"89","89/123",8
"90","90/123",6.51
"91","91/123",20.74
"92","92/123",8
"93","93/123",6.52
"94","94/123",20.72
"95","95/123",8.06
"96","96/123",6.56
"97","97/123",21.1
"98","98/123",8.13
"99","99/123",6.63
"100","100/123",21.12
"101","101/123",8.15
"102","102/123",6.63
"103","103/123",21.45
"104","104/123",8.34
"105","105/123",6.66
"106","106/123",21.21
"107","107/123",8.25
"108","108/123",6.62
"109","109/123",21.49
"110","110/123",8.18
"111","111/123",6.67
"112","112/123",21.21
"113","113/123",8.46
"114","114/123",6.81
"115","115/123",21.18
"116","116/123",8.15
"117","117/123",6.63
"118","118/123",21.04
"119","119/123",8.12
"120","120/123",6.59
"121","121/123",21.02
"122","122/123",8.14
"123","123/123",6.62
