"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","Colour","time_min"
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_original","2020",TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,"B02",0,"False","Blue",11.8840977827708
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,"B02",0,"False","Blue",4.74448543389638
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,"B02",0,"False","Blue",5.02727506160736
"spectral","2026-06-18_spectral_g21a","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,"B02",0,"False","Blue",31.6989103515943
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B02_I_5","2020",FALSE,23.116936446628,1.46339364078416,1.48069651384374,6.75821806115358,6.83812587676936,1.48069651384374,1.7116099226433,0.995859628499197,8.75574578407468,0.429411674844587,5.15727172620381,"B02",0.05,"False","Blue",28.9564466754595
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B02_I_5","2020",FALSE,16.7553305238764,2.01176799926456,2.05959027847167,13.645060316367,13.9694207219832,2.05959027847167,2.38561892889729,0.977412660627707,5.65918890624759,0.5899120548255,11.6370060684299,"B02",0.05,"False","Blue",5.08749174276988
"spectral","2026-06-18_spectral_g21a","20MMD","20MMD_spectral_B02_I_5","2020",FALSE,33.0366426117944,1.89088099538966,1.90219895891864,6.07107001805894,6.10740871373245,1.90219895891864,2.34646135301878,0.966243280301545,4.6328453700547,-0.554841268192636,-10.6953504882494,"B02",0.05,"False","Blue",4.6704919775327
"spectral","2026-06-18_spectral_g21a","49UCP","49UCP_spectral_B02_I_5","2020",FALSE,2.64643078285511,0.190356502262708,0.267493273290901,7.75043750781,10.8910905262353,0.267493273290901,0.571889692092439,0.99121376614918,3.97971883386157,0.152138866585963,3.97480569672467,"B02",0.05,"False","Blue",8.94827195008596
"spectral","2026-06-18_spectral_g21a","10TES","10TES_spectral_B03_I_5","2020",FALSE,22.111848364904,0.458305559060129,0.718848371051506,2.11653844901741,3.31977255406678,0.718848371051506,1.08159612174144,0.993121712124866,8.17225165044688,-0.154082458783208,-1.85054378988228,"B03",0.05,"False","Green",27.4462352156639
"spectral","2026-06-18_spectral_g21a","17SNB","17SNB_spectral_B03_I_5","2020",FALSE,15.3182890908287,0.574726566216922,1.14905199164914,3.89815260224601,7.7935844184945,1.14905199164914,1.49926767369987,0.962365610019786,4.73826557123079,-0.331011280191307,-6.52975345188432,"B03",0.05,"False","Green",5.13457501331965
