"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","shuffle_type","time_min"
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_original","2020",TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,0,0,0,0,0,0,1,"local",38.6947629769643
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_2.5_ 1x 1_local","2020",FALSE,16.2648597045899,0.272975908965806,1.29431960052436,1.70696531099421,8.09360308682663,1.29431960052436,1.63621424056259,0.993510940298185,8.53162789030512,-1.23346904446584,-12.6314060444579,1.18287318234565,1,2,1,-1,-1,2.5,1,"local",55.3380785544713
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_5.0_ 1x 1_local","2020",FALSE,16.4397462568914,0.447860008787371,2.3222602436011,2.80054523799822,14.5214905082033,2.3222602436011,2.80067736744656,0.984083593712126,7.45748979351861,-2.30760715028422,-23.6311750263645,2.18780717071897,3,3,1,-2,-3,5,1,"local",57.1141882419586
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_10.0_ 1x 1_local","2020",FALSE,16.5354879261795,0.543596692926938,3.80847875115805,3.39920203932238,23.8150616184716,3.80847875115805,4.48647432461013,0.959085661049151,5.87419835967121,-3.89089818892105,-39.8449536014261,3.64917935927725,5,5,2,-3,-5,10,1,"local",58.6012844244639
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_15.0_ 1x 1_local","2020",FALSE,16.4919675380195,0.500070253343454,4.77932438988424,3.1270226693029,29.8859122517248,4.77932438988424,5.57942454751032,0.931042976016715,4.82765886977209,-4.93743738267978,-50.5620964200948,4.60788426517894,6,6,2,-4,-7,15,1,"local",59.2145071466764
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_20.0_ 1x 1_local","2020",FALSE,16.4190905147579,0.427192350572826,5.44598492424173,2.67130484565961,34.0546498503747,5.44598492424173,6.32098674668296,0.90407262471045,4.10023328970827,-5.66486317870017,-58.0113386183829,5.27053337959508,7,6,2,-5,-8,20,1,"local",62.8530772487322
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_25.0_ 1x 1_local","2020",FALSE,16.3558048025729,0.36389809881967,5.92616940448647,2.27551414325263,37.0573035115046,5.92616940448647,6.85013118977565,0.879353345533997,3.56991621049569,-6.19517978259959,-63.4420776506456,5.74596137594686,8,7,2,-6,-9,25,1,"local",62.1620208541552
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_30.0_ 1x 1_local","2020",FALSE,16.3037277090466,0.311816012094106,6.28833703095925,1.94983575449286,39.3219844514123,6.28833703095925,7.24514007015791,0.856968718822777,3.16573514118431,-6.59936140717254,-67.5811178567712,6.10175481203771,9,7,2,-6,-10,30,1,"local",63.9716542919477
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_50.0_ 1x 1_local","2020",FALSE,16.1985003330319,0.206572569078697,7.20045359459447,1.29173025371165,45.0255510209642,7.20045359459447,8.22051080146897,0.769437279328442,2.1627718970156,-7.60232255358689,-77.8520125129751,6.95390621985925,10,8,2,-7,-12,50,1,"local",69.0157961328824
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_65.0_ 1x 1_local","2020",FALSE,16.1537630049957,0.161815594523221,7.6674286119115,1.01185671994678,47.9455591936877,7.6674286119115,8.71388309594158,0.675561803764924,1.69101811607895,-8.07407644269724,-82.6830338825631,7.36472974626927,10,8,2,-8,-12,65,1,"local",73.0639460404714
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_80.0_ 1x 1_local","2020",FALSE,16.0201451705049,0.0262159668341102,8.11432540199892,0.163911984980484,50.7337834166264,8.11432540199892,9.19885371688826,0.473398122478802,1.36237455404545,-8.40277459207077,-86.0486047508318,7.66739404091768,11,8,2,-8,-13,80,1,"local",73.2304127176603
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_100.0_ 1x 1_local","2020",FALSE,16.1223222631535,0.12779021116453,8.71202168944526,0.798961862398716,54.468750077386,8.71202168944526,9.83366179149716,0.0016347084798343,1.16386242182601,-8.6017486007657,-88.0820317424733,7.8282271325991,11,8,2,-8,-13,100,1,"local",69.1131941954295
"shuffle","2026-06-22_shuffle_g2","32TMT","32TMT_shuffle_2.5_ 2x 2_local","2020",FALSE,15.5719270657101,-0.419958338605255,0.749161103019963,-2.62607146054168,4.68463276267479,0.749161103019963,1.08058474071408,0.996727841554247,9.12628937219393,-0.63880729980222,-6.54174066329686,0.621348681623748,0,1,0,-1,-1,2.5,2,"local",41.8533079942067
