mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_25.0_ 32x 32_ST512,2020,FALSE,7.20895056006204,-2.2234790777691,2.7633354485704,-23.5727078085086,29.2961151545445,2.7633354485704,5.17276363088873,0.838446448567243,6.85650841948675,-1.69423324763297,-19.8138747910936,2.22347907777059,0,-1,-1,-5,-4,25,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_25.0_ 32x 32_ST512,2020,FALSE,20.3565183144554,-1.92347411022954,2.98778674785429,-8.633190144618,13.4101784727,2.98778674785429,6.74531904425105,0.914711012734368,15.5669245985789,-0.164397208138457,-1.04503111790808,1.96322640428358,0,0,-5,-1,0,25,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_30.0_ 32x 32_ST512,2020,FALSE,14.406168473297,-1.58571403415875,2.81271139335924,-9.91574339931185,17.5883695496631,2.81271139335924,4.45893323646981,0.907726976085705,8.10133730335695,-1.6637594888243,-17.0378187152885,1.82994590514282,0,1,-1,-4,-3,30,32
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_30.0_ 32x 32_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,30,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_30.0_ 32x 32_ST512,2020,FALSE,20.0520508177159,-2.22794160696904,3.48101134970832,-9.99974131275111,15.6239341708732,3.48101134970832,7.3903080977658,0.898435080473375,15.5250757308964,-0.206246075820946,-1.31105369501041,2.27358496786726,0,0,-6,-1,0,30,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_50.0_ 32x 32_ST512,2020,FALSE,14.4050710219126,-0.299921888983706,2.7868648292929,-2.03959220382531,18.9518270847165,2.7868648292929,4.29585019727591,0.868026084569103,8.15317558245509,-0.329847689800914,-3.88832706471161,0.389297621691649,0,1,0,-1,-1,50,32
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_50.0_ 32x 32_ST512,2020,FALSE,5.78772886723156,-3.64470077059958,4.06141513650217,-38.6401055776933,43.0579955795571,4.06141513650217,6.66966355029471,0.769762718246236,5.39517053546582,-3.1555711316539,-36.904063466074,3.64470077059837,0,-1,-2,-8,-9,50,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_50.0_ 32x 32_ST512,2020,FALSE,18.9967141612658,-3.28327826341911,5.3795339349869,-14.7364424584877,24.1451335909194,5.3795339349869,9.64698640959845,0.829738244955534,15.3305107445362,-0.400811062181221,-2.54785368391658,3.35583227252454,0,0,-10,-2,-1,50,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_65.0_ 32x 32_ST512,2020,FALSE,13.8452452713467,-0.857911112826544,3.09002685977865,-5.83487715433683,21.0160783102655,3.09002685977865,4.67603843320912,0.842383047766641,7.62983981506498,-0.852737986831031,-10.0528165699869,0.954386489465281,0,1,0,-2,-2,65,32
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_65.0_ 32x 32_ST512,2020,FALSE,6.16123747458203,-3.2711921632491,3.93329323275698,-34.6802710314335,41.6996827305397,3.93329323275698,6.58625294721795,0.7473827159607,5.75538647083489,-2.79535519628483,-32.6913770186023,3.27119216325,0,-1,-1,-7,-7,65,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_65.0_ 32x 32_ST512,2020,FALSE,18.4272419647063,-3.85275045997864,6.6654706957537,-17.2924226657726,29.9168445334333,6.6654706957537,11.0600862708936,0.775854126095452,15.2009597955783,-0.530362011139042,-3.37137602075226,3.94059144197638,0,0,-12,-2,-1,65,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_80.0_ 32x 32_ST512,2020,FALSE,13.655666477712,-1.04748990646123,3.31107510083756,-7.12425195714282,22.5194850297699,3.31107510083756,4.92020030966278,0.825819676506014,7.48273121801297,-0.999846583883045,-11.7870605756137,1.13545601059851,0,1,0,-2,-2,80,32
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_80.0_ 32x 32_ST512,2020,FALSE,6.24178340436142,-3.19064623346971,3.6927910381769,-33.8263454483967,39.1499452417437,3.6927910381769,6.29519119070549,0.780958353095407,5.71513097728449,-2.83561068983523,-33.1621606665892,3.19064623346952,0,-1,-1,-7,-7,80,32
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_80.0_ 32x 32_ST512,2020,FALSE,18.0505743848729,-4.22941803981204,7.94905909527346,-18.9830317676683,35.6780152513264,7.94905909527346,12.4368411949146,0.712785020039677,15.0918466695428,-0.639475137174614,-4.06498033052476,4.32599439609735,0,0,-13,-2,-1,80,32
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_100.0_ 32x 32_ST512,2020,FALSE,13.8770438182044,-0.826112565968851,2.80227103955223,-5.61860694658796,19.0589759527324,2.80227103955223,4.38297357283352,0.866526800864708,8.12624845442645,-0.35632934746957,-4.200720061653,0.826112886130448,-1,0,0,-1,-1,100,32
