"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","20MMD","20MMD_original","2020",TRUE,32.6590851864273,0,0,0,0,0,0,1,5.90165031419954,0,0,0,0,0,0,0,0,0,1,4.18466553688049
"shuffle","20MMD","20MMD_original","2020",TRUE,29.8949659030184,0,0,0,0,0,0,1,4.96120531287663,0,0,0,0,0,0,0,0,0,2,3.99348291953405
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,4,4.35956490039825
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,8,4.14510207573573
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,16,4.19284199476242
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,32,3.9856898188591
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,64,4.03381911118825
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,128,4.43408924738566
"shuffle","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,0,0,0,0,0,0,256,4.92673589785894
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,1,5.12247163852056
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,2,5.14381703535716
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,4,4.31514816681544
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,8,4.82362283468246
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,16,4.53545962174733
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,32,5.21701503197352
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,64,5.35244546333949
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,128,4.14662349621455
"shuffle","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,0,0,0,0,0,0,256,4.83201812903086
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,1,25.6314747412999
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,2,25.4000758767128
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,4,24.6891843080521
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,8,22.9621799508731
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,16,24.2420415878296
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,32,25.5601395805677
"shuffle","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,0,0,0,0,0,0,64,24.6780190030734
