"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min"
"geographical","2026-06-10_geographical_3","32TMT","32TMT_original","2020",TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,37.652084283034
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_100_N","2020",FALSE,15.9547700074758,-0.0371124999799903,0.209191190006832,-0.232070864469444,1.30810859765448,0.209191190006832,0.457384617290491,0.999070436722797,9.93101895676899,0.165922164587748,1.69913486900201,100,32.1047200838725
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_200_N","2020",FALSE,15.9245191306332,-0.0673633768225415,0.408802478264141,-0.421234815795671,2.55631241708753,0.408802478264141,0.647305265805531,0.998436797718699,10.0912618764014,0.326165084220159,3.3401111239503,200,33.4992755651474
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_300_N","2020",FALSE,15.8965770368369,-0.0953054706188592,0.596028413273828,-0.595961548457011,3.72706848612693,0.596028413273828,0.835549557347249,0.997687389927695,10.2410340117743,0.475937219593055,4.87386074835561,300,31.2351344068845
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_500_N","2020",FALSE,15.8321997271156,-0.159682780340157,0.926914970951561,-0.998523971556879,5.79615921089599,0.926914970951561,1.20631768946452,0.995628508391549,10.4955972167868,0.730500424605582,7.48072896922519,500,34.4622081200282
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_1000_N","2020",FALSE,15.5248265480124,-0.467055959443353,1.52803123211875,-2.92058148392224,9.55504288757969,1.52803123211875,1.94818108981399,0.988436033699207,10.8288668089615,1.06377001678025,10.8935941897882,1000,32.8999559322993
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_1500_N","2020",FALSE,14.9599564918187,-1.03192601563705,2.0110808103859,-6.45281138825239,12.5756352289875,2.0110808103859,2.6211729515112,0.977706785745494,10.8128793581885,1.04778256600729,10.7298738384881,1500,33.0883736213048
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_2000_N","2020",FALSE,14.0446502955003,-1.94723221195551,2.64376644496662,-12.1763789287951,16.5319276435031,2.64376644496662,3.5801941624937,0.958422936386717,10.4822929110862,0.717196118905001,7.34448550964951,2000,32.739311337471
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_3000_N","2020",FALSE,10.4134192083791,-5.57846329907664,5.80247385302555,-34.8830933223517,36.2838699591516,5.80247385302555,8.00513342583597,0.8130540670058,8.74097159261486,-1.02412519956638,-10.4876093024125,3000,33.3566382368406
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_100_S","2020",FALSE,16.0407208900634,0.0488383826076841,0.214782367491788,0.305394831314666,1.3430711949744,0.214782367491788,0.463453727664901,0.999013417077184,9.59944481700047,-0.165651975180774,-1.69636797981776,100,31.8271176656087
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_200_S","2020",FALSE,16.1055013365857,0.113618829129937,0.43031936474249,0.710478138374049,2.69086122000875,0.43031936474249,0.664433725748809,0.998246188642516,9.44075824890509,-0.324338543276157,-3.32140633296999,200,32.5966968894005
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_300_S","2020",FALSE,16.1887769489348,0.196894441478996,0.641047712792288,1.23121490785841,4.00858193207346,0.641047712792288,0.867808097070742,0.997278327910668,9.29583640178803,-0.46926039039322,-4.80548631908031,300,34.4287490646044
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_500_S","2020",FALSE,16.3933887076517,0.401506200195975,1.02521717183126,2.5106875316823,6.41085983062519,1.02521717183126,1.28480668445791,0.99436711842097,9.06334859471628,-0.701748197464971,-7.18629023756169,500,32.8749851624171
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_1000_S","2020",FALSE,16.5895097810255,0.597627273569717,1.56838421204942,3.73706643536863,9.80737703217997,1.56838421204942,1.90209344960267,0.987012368477473,8.74386664570166,-1.02123014647959,-10.4579623552454,1000,33.0469307581584
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_1500_S","2020",FALSE,16.6697073598568,0.677824852401059,1.76794084160877,4.23855573029031,11.0552390613458,1.76794084160877,2.14312856158526,0.982288218703416,8.70581058412553,-1.05928620805572,-10.8476775048853,1500,31.3067421396573
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_2000_S","2020",FALSE,17.160593142032,1.16871063457628,2.00289613726821,7.30814920652025,12.524455056085,2.00289613726821,2.42902995835632,0.978200294502452,8.90252504560731,-0.862571746573941,-8.83321245995829,2000,34.5225546717644
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_3000_S","2020",FALSE,19.0824726470836,3.0905901396278,3.22953050437367,19.3259932855741,20.194811354248,3.22953050437367,3.78739972228628,0.975405215684249,9.92462092883956,0.159524136658312,1.6336155191625,3000,32.9172243992488
"geographical","2026-06-10_geographical_3","32TMT","32TMT_geographical_5000_S","2020",FALSE,19.4972526133634,3.50537010590768,3.73775012846484,21.919683966371,23.372796334154,3.73775012846484,4.46312755078317,0.969177604401053,10.8221299532748,1.05703316109351,10.8246050560386,5000,29.5641037782033
