"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","shift_direction","time_min"
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,"S",25.675545891126
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,"S",13.5084132711093
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_6000_N","2020",FALSE,8.35466897148694,-13.925323453198,14.0477282358777,-62.5014730156261,63.0508663024214,14.0477282358777,17.4311546303673,0.965364528515968,5.53842384740108,-10.1928979593163,-64.7936523360922,6000,"N",13.7850764473279
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_7000_N","2020",FALSE,5.17595354630511,-17.1040388783798,17.2645212116841,-76.7686027551318,77.4889007258191,17.2645212116841,21.3629886424188,0.939233116900716,3.17079049970851,-12.5605313070089,-79.8440935945093,7000,"N",13.57420835495
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_8000_N","2020",FALSE,3.87990442224038,-18.4000880024446,18.7243571779042,-82.5857013400881,84.0411290138444,18.7243571779042,23.1467541567708,0.898180782123647,1.90748927312764,-13.8238325335897,-87.8745772506343,8000,"N",13.5821260770162
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_6000_S","2020",FALSE,6.65101473824967,-15.6289776864353,16.9044835971694,-70.1480386013025,75.872932427213,16.9044835971694,20.6378006714038,0.871568931735233,2.65792147821522,-13.0734003285022,-83.1042711421728,6000,"S",13.1056706547737
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_6000_S","2020",FALSE,8.3299450913182,4.52370515439463,4.56379996852514,118.849710721363,119.903107637872,4.56379996852514,6.34971903312558,0.909101181314068,7.23759356298825,3.93886098122343,119.405283198681,6000,"S",20.6947590867678
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_7000_S","2020",FALSE,4.91637921970843,-17.3636132049765,18.7864003524986,-77.9336584770946,84.3195993715166,18.7864003524986,22.91446935094,0.59659274341539,1.37362609289143,-14.357695713826,-91.2682093102636,7000,"S",11.8452410658201
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_7000_S","2020",FALSE,7.94260778485339,4.13636784792982,4.24632864784512,108.673334221623,111.5622955519,4.24632864784512,6.095445907537,0.894555635513923,7.17832162570613,3.87958904394131,117.608473793463,7000,"S",19.4471921563148
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_8000_S","2020",FALSE,3.77200101636722,-18.5079914083177,19.748987865383,-83.0700076352447,88.6400115805347,19.748987865383,24.1407774110212,0.313419497630134,0.799308973107046,-14.9320128336103,-94.9189967446618,8000,"S",13.4870564977328
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_8000_S","2020",FALSE,7.86854016463394,4.06230022771037,4.261603826593,106.727381747609,111.963614937988,4.261603826593,6.09606902686613,0.876788493616029,7.15180763027137,3.85307504850655,116.804710688162,8000,"S",19.8484210888545
"geographical","2026-07-01_geographical_g6","33NTG","33NTG_geographical_10000_S","2020",FALSE,3.01825067573306,-19.2617417489519,20.1161242317385,-86.4530893090026,90.2878414332448,20.1161242317385,24.6996297764881,0.471733797114675,0.59064359569648,-15.1406782110209,-96.245429322765,10000,"S",13.8390478014946
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_10000_S","2020",FALSE,6.10928593519688,2.30304599827332,2.70033739380557,60.5071155901638,70.9450123627295,2.70033739380557,3.74168246099168,0.833109413257466,5.06491874926346,1.76618616749864,53.5413563761428,10000,"S",19.4038246353467
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_12000_S","2020",FALSE,4.1478705277892,0.341630590865638,1.6658338130398,8.9755400743802,43.7658644921432,1.6658338130398,2.36911234823003,0.716312479248697,2.80761629343769,-0.491116288327128,-14.8880297554881,12000,"S",18.3143187920252
"geographical","2026-07-01_geographical_g6","34UFD","34UFD_geographical_15000_S","2020",FALSE,2.73640227130225,-1.06983766562131,2.13535673679571,-28.1074678252159,56.101474741018,2.13535673679571,3.07795223162025,0.497097591070054,1.27030778221631,-2.02842479954851,-61.491034792014,15000,"S",12.8428880572319
