"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,0,0,0,0,0,0,64,7.83610695203145
"shuffle","49NHC","49NHC_shuffle_10.0_64x64_ST512","2020",FALSE,39.6583749504467,-0.445326631744656,0.92853622378871,-1.11043772563481,2.31533795424271,0.92853622378871,3.01252693503693,0.898515448610874,6.71666324028442,0.251552990340736,3.890931176973,0.446000348685019,-1,0,0,0,-1,10,64,7.53981005748113
"shuffle","49NHC","49NHC_shuffle_20.0_64x64_ST512","2020",FALSE,39.2392369636122,-0.864464618579106,1.78038019278223,-2.15557313782473,4.43944105541828,1.78038019278223,4.30896447799687,0.804450748551729,6.95334646518196,0.48823621523828,7.55186217037108,0.865904946529249,-3,-1,-1,0,-1,20,64,7.17139679193497
