"tile","band","increment","decrease","average_difference","avg_diff_absoluteVals","Correlation","std_dev","out_name","year"
"T32ULB","B04",0.1,"True",0.0939982890921781,0.945800363241093,NA,1.50469442802151,"T32ULB_B04_10_D",2020
"T33UUT","B04",0.1,"True",2.1727682377189,2.37824195477189,NA,2.9055049094376,"T33UUT_B04_10_D",2020
"T31UGT","B08",0.1,"True",0.236878565152074,1.12978413024215,NA,1.55207199066662,"T31UGT_B08_10_D",2020
"T32ULB","B08",0.1,"True",1.40802981195705,1.66439145737124,NA,1.81365156526572,"T32ULB_B08_10_D",2020
"T33UUT","B08",0.1,"True",0.402980204744802,1.30124275576056,NA,1.73797818398507,"T33UUT_B08_10_D",2020
"T31UGT","B02",0.15,"False",1.58325164100318,1.68462361002109,NA,1.58481928838737,"T31UGT_B02_15_I",2020
"T32ULB","B02",0.15,"False",0.235414160000652,1.3299059063531,NA,1.8451834825712,"T32ULB_B02_15_I",2020
"T33UUT","B02",0.15,"False",-0.35210975814449,1.59251365468088,NA,2.34067770470668,"T33UUT_B02_15_I",2020
"T31UGT","B03",0.15,"False",0.345695173342541,1.50456191899353,NA,2.04399206931172,"T31UGT_B03_15_I",2020
"T32ULB","B03",0.15,"False",1.3094632579552,1.62983557353068,NA,1.81016987566752,"T32ULB_B03_15_I",2020
"T33UUT","B03",0.15,"False",1.32669439224,1.96390974891059,NA,2.43987621825753,"T33UUT_B03_15_I",2020
"T31UGT","B04",0.15,"False",-0.366519951898006,1.00358052572949,NA,1.47934384557409,"T31UGT_B04_15_I",2020
"T32ULB","B04",0.15,"False",-0.164033736855619,1.01943270383564,NA,1.42791216551565,"T32ULB_B04_15_I",2020
"T33UUT","B04",0.15,"False",-1.31530772784952,1.71660217151805,NA,2.21315604373114,"T33UUT_B04_15_I",2020
"T31UGT","B08",0.15,"False",0.738608545606481,1.55502239696132,NA,1.94929643081308,"T31UGT_B08_15_I",2020
"T32ULB","B08",0.15,"False",1.32198835428648,1.8311808316608,NA,2.14838404064997,"T32ULB_B08_15_I",2020
"T33UUT","B08",0.15,"False",0.550738243968916,1.83860961628104,NA,2.38368703433739,"T33UUT_B08_15_I",2020
"T31UGT","B02",0.15,"True",1.04994657862509,1.36921116875388,NA,1.51131957911426,"T31UGT_B02_15_D",2020
"T32ULB","B02",0.15,"True",0.913959921164825,1.23766256054724,NA,1.45425627717568,"T32ULB_B02_15_D",2020
"T33UUT","B02",0.15,"True",2.1677121705961,2.41467913624938,NA,2.55080195254786,"T33UUT_B02_15_D",2020
"T31UGT","B03",0.15,"True",1.26556071280268,1.56329341498494,NA,1.70274641955052,"T31UGT_B03_15_D",2020
"T32ULB","B03",0.15,"True",1.59558247496031,1.79815782879434,NA,1.80158460309719,"T32ULB_B03_15_D",2020
"T33UUT","B03",0.15,"True",1.03269754488007,1.84208618278103,NA,2.31023751819572,"T33UUT_B03_15_D",2020
"T31UGT","B04",0.15,"True",-0.30572988270719,0.954188405240497,NA,1.38254688185408,"T31UGT_B04_15_D",2020
