"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min","location","shift_direction","lon","lat","lat_new","eq_dist_km","abs_lat"
"geographical","2026-06-16_geographical_1","55HEV","55HEV_original",2020,TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,11.2860427061717,"Australia","N",147.613916,-36.636058,-36.636058,4078.32597656,36.636058
"geographical","2026-06-16_geographical_1","55HEV","55HEV_original",2020,TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,11.2860427061717,"Australia","S",147.613916,-36.636058,-36.636058,4078.32597656,36.636058
"geographical","2026-06-16_geographical_1","49UCP","49UCP_original",2020,TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,8.99325678348541,"Mongolia","N",109.045451,48.239885,48.239885,5370.0639982,48.239885
"geographical","2026-06-16_geographical_1","49UCP","49UCP_original",2020,TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,8.99325678348541,"Mongolia","S",109.045451,48.239885,48.239885,5370.0639982,48.239885
"geographical","2026-06-16_geographical_1","49NHC","49NHC_original",2020,TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,6.78527238766352,"Malaysia","N",114.189928,2.213706,2.213706,246.42975192,2.213706
"geographical","2026-06-16_geographical_1","49NHC","49NHC_original",2020,TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,6.78527238766352,"Malaysia","S",114.189928,2.213706,2.213706,246.42975192,2.213706
"geographical","2026-06-16_geographical_1","35VML","35VML_original",2020,TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,8.91937926610311,"Finland","N",26.091998,63.527175,63.527175,7071.845121,63.527175
"geographical","2026-06-16_geographical_1","35VML","35VML_original",2020,TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,8.91937926610311,"Finland","S",26.091998,63.527175,63.527175,7071.845121,63.527175
"geographical","2026-06-16_geographical_1","34UFD","34UFD_original",2020,TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,13.3311699231466,"Poland","N",23.2945,52.730829,52.730829,5869.99588428,52.730829
"geographical","2026-06-16_geographical_1","34UFD","34UFD_original",2020,TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,13.3311699231466,"Poland","S",23.2945,52.730829,52.730829,5869.99588428,52.730829
"geographical","2026-06-16_geographical_1","33NTG","33NTG_original",2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,8.88028408288956,"Cameroon","N",12.786326,5.831657,5.831657,649.18005724,5.831657
"geographical","2026-06-16_geographical_1","33NTG","33NTG_original",2020,TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,8.88028408288956,"Cameroon","S",12.786326,5.831657,5.831657,649.18005724,5.831657
"geographical","2026-06-16_geographical_1","32UQU","32UQU_original",2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,21.5947408636411,"Germany","N",12.430884,48.205131,48.205131,5366.19518292,48.205131
"geographical","2026-06-16_geographical_1","32UQU","32UQU_original",2020,TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,21.5947408636411,"Germany","S",12.430884,48.205131,48.205131,5366.19518292,48.205131
"geographical","2026-06-16_geographical_1","32TMT","32TMT_original",2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,21.8467636704445,"Switzerland","N",8.402194,47.355772,47.355772,5271.64453904,47.355772
"geographical","2026-06-16_geographical_1","32TMT","32TMT_original",2020,TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,21.8467636704445,"Switzerland","S",8.402194,47.355772,47.355772,5271.64453904,47.355772
"geographical","2026-06-16_geographical_1","20MMD","20MMD_original",2020,TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,4.71414289474487,"Brazil","N",-63.405779,-1.400945,-1.400945,155.9531974,1.400945
"geographical","2026-06-16_geographical_1","20MMD","20MMD_original",2020,TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,4.71414289474487,"Brazil","S",-63.405779,-1.400945,-1.400945,155.9531974,1.400945
"geographical","2026-06-16_geographical_1","17SNB","17SNB_original",2020,TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,4.5524756749471,"USA West","N",-80.379497,37.449419,37.449419,4168.86932308,37.449419
"geographical","2026-06-16_geographical_1","17SNB","17SNB_original",2020,TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,4.5524756749471,"USA West","S",-80.379497,37.449419,37.449419,4168.86932308,37.449419
"geographical","2026-06-16_geographical_1","10TES","10TES_original",2020,TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,26.3680521527926,"USA East","N",-122.285282,46.455086,46.455086,5171.38017352,46.455086
"geographical","2026-06-16_geographical_1","10TES","10TES_original",2020,TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,26.3680521527926,"USA East","S",-122.285282,46.455086,46.455086,5171.38017352,46.455086
"geographical","2026-06-16_geographical_1","10TES","10TES_geographical_100_N",2020,FALSE,21.1914043139493,-0.462138491894542,0.46315480029522,-2.13423963015336,2.13893312723969,0.46315480029522,0.681207311195563,0.998287707170815,8.19694420620946,-0.12938990302063,-1.55398403815187,100,26.2364444772402,"USA East","N",-122.285282,46.455086,47.353397174991,5271.38017352,47.353397174991
