"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","Colour","time_min"
"spectral","2026-06-18_spectral_g20","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,"B02",0,"False","Blue",9.71741232077281
"spectral","2026-06-18_spectral_g20","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,"B02",0,"False","Blue",8.68135975201925
"spectral","2026-06-18_spectral_g20","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,"B02",0,"False","Blue",9.59277049303055
"spectral","2026-06-18_spectral_g20","32TMT","32TMT_original","2020",TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,"B02",0,"False","Blue",25.4348676562309
"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B02_I_5","2020",FALSE,16.2679867581167,0.276104250660911,0.396516899818415,1.72652750876693,2.47948857574179,0.396516899818415,0.639117836590836,0.99842824980671,9.56886595209927,-0.196230840081981,-2.00951249391711,"B02",0.05,"False","Blue",25.7854855656624
"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B02_I_5","2020",FALSE,24.7238315377363,2.44383911305132,2.48850346393892,10.9687609693425,11.1692293987578,2.48850346393892,3.01916316874086,0.997898594040376,17.148781324945,1.41745951822763,9.01042859362499,"B02",0.05,"False","Blue",9.10078676939011
"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B02_I_5","2020",FALSE,3.06630176304618,0.386633526696062,0.452998462106156,14.4284102580804,16.9050204036889,0.452998462106156,0.806070275374113,0.957017221202822,2.22792902623258,0.383390492638862,20.7851712315222,"B02",0.05,"False","Blue",8.39757370154063
"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B02_I_5","2020",FALSE,40.8692569791014,0.765555396910031,0.918637712642685,1.90893949113662,2.29065566618574,0.918637712642685,1.305661521455,0.987524877715701,6.09754213037438,-0.3675681195693,-5.68541146800245,"B02",0.05,"False","Blue",7.33249445756276
"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B03_I_5","2020",FALSE,16.0052556036727,0.0133730962169167,0.235781063544783,0.083624277571336,1.4743796637754,0.235781063544783,0.503811042317845,0.998812005423779,9.58852973865511,-0.176567053526139,-1.80814442789254,"B03",0.05,"False","Green",23.5912066539129
"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B03_I_5","2020",FALSE,21.2505857430931,-1.02940668159184,1.9907186605773,-4.62031881326547,8.93500600283733,1.9907186605773,2.37368715039787,0.995975165851748,14.0597042571215,-1.67161754959591,-10.6260463687299,"B03",0.05,"False","Green",8.67461388905843
"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B03_I_5","2020",FALSE,3.52279523248748,0.84312699613736,0.887849885967503,31.4638575290855,33.132828680942,0.887849885967503,1.22127423451683,0.917243547395949,2.18262583848314,0.338087304889419,18.3290995949389,"B03",0.05,"False","Green",8.69889421860377
"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B03_I_5","2020",FALSE,38.8748564488303,-1.22884513336102,1.26758557737569,-3.06416885444487,3.1607695234262,1.26758557737569,1.50196096799513,0.991039843565117,6.41963651504497,-0.0454737348987155,-0.703371375594278,"B03",0.05,"False","Green",7.0888272245725
"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B04_I_5","2020",FALSE,16.1549569106968,0.16307440324103,0.38231623925391,1.0197323746282,2.39068939554593,0.38231623925391,0.623655256243308,0.998692839194072,10.0888160990961,0.323719306914834,3.31506500963749,"B04",0.05,"False","Red",24.0247883439064
"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B04_I_5","2020",FALSE,23.7612788615927,1.48128643690774,1.57958197150036,6.64850511917841,7.08968809949087,1.57958197150036,1.98801780118638,0.998004408444933,16.5781510571728,0.846829250455446,5.38307753703089,"B04",0.05,"False","Red",9.66992066701253
"spectral","2026-06-18_spectral_g20","35VML","35VML_spectral_B04_I_5","2020",FALSE,2.66960742712452,-0.0100608092255912,0.19113797329723,-0.375449807148315,7.13289692747834,0.19113797329723,0.438812964636784,0.971833898636897,1.85169891768344,0.00716038408971986,0.388193792610517,"B04",0.05,"False","Red",8.50023925701777
"spectral","2026-06-18_spectral_g20","49NHC","49NHC_spectral_B04_I_5","2020",FALSE,40.45553151246,0.351829930268714,0.709901990905726,0.877300389710035,1.77016575253235,0.709901990905726,1.03696473230318,0.988562283291369,6.3621776316827,-0.102932618260982,-1.5921247168504,"B04",0.05,"False","Red",6.88993819157283
"spectral","2026-06-18_spectral_g20","32TMT","32TMT_spectral_B05_I_5","2020",FALSE,16.2109921434125,0.219109635956709,0.865577746706293,1.37013035116132,5.4126069667079,0.865577746706293,1.18088451987029,0.99683987946312,10.5972277946153,0.832131002434018,8.52148237895902,"B05",0.05,"False","RedEdge",26.651388223966
"spectral","2026-06-18_spectral_g20","33NTG","33NTG_spectral_B05_I_5","2020",FALSE,22.4096730537504,0.12968062906549,0.539647185539709,0.582049699989177,2.422115659886,0.539647185539709,0.818561221127521,0.998732973690043,15.5485729533658,-0.182748853351548,-1.16168784541368,"B05",0.05,"False","RedEdge",11.0973330577215
