"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min"
"geographical","2026-06-10_geographical_4","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,43.8124040444692
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_100_N","2020",FALSE,21.1914043139493,-0.462138491894542,0.46315480029522,-2.13423963015336,2.13893312723969,0.46315480029522,0.681207311195563,0.998287707170815,8.19694420620946,-0.12938990302063,-1.55398403815187,100,39.4585001945496
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_200_N","2020",FALSE,20.7025278885194,-0.9510149173245,0.953003725671184,-4.3919599016741,4.40114458043322,0.953003725671184,1.08770917090429,0.99842674039458,8.06683639576422,-0.259497713465866,-3.11659020718616,200,38.4176666498184
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_300_N","2020",FALSE,20.1873484422935,-1.46619436355034,1.46908589208572,-6.7711523084095,6.7845059132275,1.46908589208572,1.64115723630168,0.997038513808797,7.93609088422546,-0.390243225004633,-4.68685522206023,300,38.102292907238
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_500_N","2020",FALSE,19.0891245835287,-2.56441822231515,2.56892873671517,-11.8429498826541,11.8637802587291,2.56892873671517,2.79836426853253,0.99353168297255,7.67194905981958,-0.65438504941051,-7.85922160732293,500,38.0757249991099
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_1000_N","2020",FALSE,16.1961693743995,-5.45737343144438,5.46609707774501,-25.2031433395349,25.2434307252013,5.46609707774501,5.91565860516482,0.970281507721294,7.00525686625752,-1.32107724297257,-15.8662530909984,1000,38.4580145200094
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_1500_N","2020",FALSE,13.141532702649,-8.51201010319483,8.52696440653438,-39.3100112047143,39.3790728980992,8.52696440653438,9.25062025943176,0.916636221925428,6.20302624606566,-2.12330786316443,-25.501112918477,1500,40.0238068461418
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_2000_N","2020",FALSE,9.80534228160383,-11.84820052424,11.8711392040761,-54.7171455058266,54.8230805024308,11.8711392040761,12.8974101814541,0.817983009315456,5.07226924765201,-3.25406486157808,-39.0816032468696,2000,40.3132687409719
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_3000_N","2020",FALSE,4.48021281325337,-17.1733299925905,17.215285515038,-79.3095621652996,79.5033204007241,17.215285515038,18.7035208673824,0.540108652705117,2.08990165228465,-6.23643245694544,-74.9000985923936,3000,39.6308659911156
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_100_S","2020",FALSE,22.0890034324325,0.435460626588629,0.436488292105226,2.01103639479774,2.01578234111153,0.436488292105226,0.661236171555039,0.998358844100856,8.45493123926908,0.128597130038992,1.54446276538959,100,37.780847855409
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_200_S","2020",FALSE,22.4978214843329,0.844278678489061,0.846286091360477,3.89903253273274,3.90830313057169,0.846286091360477,0.984901644000116,0.998656949997624,8.58185033037969,0.2555162211496,3.06877213666396,200,37.903642308712
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_300_S","2020",FALSE,22.8812992185921,1.22775641274819,1.23068513328032,5.67000247376073,5.68352783798584,1.23068513328032,1.40458344403128,0.997788314102072,8.70684888775914,0.380514778529051,4.57001573005861,300,37.2434561888377
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_500_S","2020",FALSE,23.5764029126841,1.92286010684028,1.92757232089067,8.88011778987657,8.90187965163122,1.92757232089067,2.14383248756366,0.996591118116466,8.9512281570968,0.624894047866713,7.50503210259112,500,39.003409576416
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_1000_S","2020",FALSE,24.8339389538137,3.18039614796982,3.19625736646882,14.6876480051638,14.7608979977457,3.19625736646882,3.54847497801265,0.992584382077185,9.46972401315607,1.14338990392599,13.7322126271451,1000,38.7653756697973
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_1500_S","2020",FALSE,25.7337163279098,4.08017352206598,4.12281862267225,18.842983610815,19.0399264436283,4.12281862267225,4.57932617021779,0.988120614520529,9.86603505403264,1.53970094480255,18.4919428478823,1500,38.9141774932543
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_2000_S","2020",FALSE,26.569879196012,4.91633639016816,4.98612269571514,22.7045358547117,23.0268217096072,4.98612269571514,5.53530354974769,0.982198241417691,10.1838218613262,1.85748775209612,22.3085901637915,2000,25.5601650357246
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_3000_S","2020",FALSE,27.8229657970819,6.16942299123805,6.27078707550317,28.4915177463387,28.9596355281447,6.27078707550317,6.96539615888466,0.968031144764872,10.5285822128177,2.20224810358757,26.4491921017953,3000,19.568185154597
"geographical","2026-06-10_geographical_4","10TES","10TES_geographical_5000_S","2020",FALSE,25.7466294369266,4.09308663108268,4.5577170549699,18.9026186974726,21.0483665229131,4.5577170549699,5.47619645937815,0.930829248561838,9.74442580247041,1.41809169324032,17.0314051134257,5000,19.5295155922572
