"tile","out_name","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","quantile_shift","wasserstein","year"
"55HEV","55HEV_original","",NA,NA,0,NA,7.03913887768977,0,0,0,0,1,0,0,0,"2020"
"49UCP","49UCP_original","",NA,NA,0,NA,3.12722135832342,0,0,0,0,1,0,0,0,"2020"
"49NHC","49NHC_original","",NA,NA,0,NA,39.1088393121885,0,0,0,0,1,0,0,0,"2020"
"35VML","35VML_original","",NA,NA,0,NA,4.38671973219208,0,0,0,0,1,0,0,0,"2020"
"34UFD","34UFD_original","",NA,NA,0,NA,5.21613807124835,0,0,0,0,1,0,0,0,"2020"
"33NTG","33NTG_original","",NA,NA,0,NA,22.5881438664554,0,0,0,0,1,0,0,0,"2020"
"32UQU","32UQU_original","",NA,NA,0,NA,8.59730788592073,0,0,0,0,1,0,0,0,"2020"
"32TMT","32TMT_original","",NA,NA,0,NA,16.9908341027587,0,0,0,0,1,0,0,0,"2020"
"20MMD","20MMD_original","",NA,NA,0,NA,38.6166564933237,0,0,0,0,1,0,0,0,"2020"
"17SNB","17SNB_original","",NA,NA,0,NA,13.411219717576,0,0,0,0,1,0,0,0,"2020"
"10TES","10TES_original","",NA,NA,0,NA,20.6300760290311,0,0,0,0,1,0,0,0,"2020"
"10TES","10TES_shuffle2.5_local-NA","",NA,NA,2.5,NA,21.5446180541804,0.914736413544342,1.18099943809371,8.91753406945332,11.0528490661901,0.982465878811864,1.49169211711204,1,0.914927579159201,"2020"
"17SNB","17SNB_shuffle2.5_local-NA","",NA,NA,2.5,NA,20.1781543032282,6.76693458565215,6.86293244806977,41.092017949721,42.1773905963124,0.767897316858406,3.83996684001805,3,6.76693458565129,"2020"
"20MMD","20MMD_shuffle2.5_local-NA","",NA,NA,2.5,NA,32.642464611518,-5.97419188180565,6.29538281634027,-15.9951918980592,18.0854803095557,0.830209393017869,2.97378246666466,-2,6.10672128212794,"2020"
