"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_original","2020",TRUE,15.9666386110252,0,0,0,0,0,0,1,9.80332326375616,0,0,0,0,0,0,0,0,0,64,26.5001672943433
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_2.5_ 1x 1_local","2020",FALSE,16.1543610988728,0.187722487847646,0.801468483382102,1.17571702110187,5.01964441550444,0.801468483382102,1.04937151151523,0.996553600487086,9.13341691188011,-0.669906351876049,-6.83346181547188,0.709767587587688,0,1,1,-1,-2,2.5,1,61.5754145423571
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_2.5_ 1x 1_local","2020",FALSE,21.5084325874667,-2.64228769208909,3.03044527361984,-10.9408235510303,12.5480533853278,3.03044527361984,3.91202467780995,0.982847646364813,15.1765192965577,-0.43877527487172,-2.80990712576455,2.64228769208945,0,-2,-4,-2,-2,2.5,1,22.9450908104579
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_2.5_ 1x 1_local","2020",FALSE,3.14468247376241,0.887227931805225,0.911980019513841,39.3021394369257,40.3985995094796,0.911980019513841,1.2209154308479,0.89108244749957,1.84754055987048,0.22109822568867,13.5939787745315,0.887237401580444,1,1,1,1,1,2.5,1,23.7697855909665
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_2.5_ 1x 1_local","2020",FALSE,37.0288346630522,-3.07486691913912,3.11279612256361,-7.66728954642073,7.76186735826374,3.11279612256361,3.64363553415322,0.954550590932186,6.50029699717177,0.0351867472280905,0.544255950289432,3.07884483857856,-3,-3,-3,-3,-3,2.5,1,18.7508787751198
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_5.0_ 1x 1_local","2020",FALSE,16.1676229398,0.192651158790428,2.43936647542985,1.20595617589412,15.2699266632174,2.43936647542985,3.04231669306362,0.971765201723344,7.5613363974058,-2.24324766993991,-22.8795801487498,2.12410480494772,3,3,1,-2,-4,5,1,58.5481329838435
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_5.0_ 1x 1_local","2020",FALSE,22.792958480927,-1.34682662474519,2.80683136055168,-5.57928174940017,11.6274082319488,2.80683136055168,3.38287917267805,0.987876988006831,13.4487818683767,-2.132856524887,-13.6882686599188,2.42815040683072,1,3,-3,-3,-3,5,1,23.5289343674978
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_5.0_ 1x 1_local","2020",FALSE,2.81247137046006,0.555016828502877,0.614393485164473,24.585958130598,27.2162062954234,0.614393485164473,0.910081699920381,0.91540323643774,1.7914499791195,0.165007644937693,10.1453117316146,0.555022192242846,0,0,1,1,1,5,1,25.5461921254794
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_5.0_ 1x 1_local","2020",FALSE,33.0031932229816,-7.09214113127086,7.20581195044274,-17.6881955107544,17.9716968732011,7.20581195044274,8.37864630631516,0.793597642195878,7.24172979601735,0.79554404725207,12.3413143563921,7.09636201619824,-9,-9,-7,-6,-4,5,1,18.8046678264936
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_10.0_ 1x 1_local","2020",FALSE,16.8214805488357,0.843663180078011,2.16433112041762,5.28021544249011,13.5458496643582,2.16433112041762,2.90689689415977,0.963368147942237,8.53836355221708,-1.26675529390377,-12.9193262599252,1.43179260215327,1,3,2,-1,-2,10,1,60.9854550719261
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_10.0_ 1x 1_local","2020",FALSE,18.6503855822966,-5.49877631276405,5.67820346143078,-22.7700503092356,23.5130456539453,5.67820346143078,6.72018852113679,0.973721827350582,13.6884584896539,-1.92197928640478,-12.3121421319296,5.49877631276356,-1,-3,-8,-6,-6,10,1,24.0443874041239
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_10.0_ 1x 1_local","2020",FALSE,4.34810525192909,2.0906507099719,2.10500315327798,92.6109771477095,93.2467570954038,2.10500315327798,2.42234384329661,0.733801379098402,1.71886415362719,0.0924218194453783,5.68245289138219,2.09065801575565,2,2,2,3,2,10,1,23.5048648277918
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_10.0_ 1x 1_local","2020",FALSE,24.3804702835427,-15.5597303820301,15.6145043993467,-38.9575668693174,39.0947069347248,15.6145043993467,16.9530410479838,0.53213934461135,7.40059238075621,1.00467851774202,15.7081308357169,15.5619203803333,-16,-18,-17,-14,-11,10,1,18.1312293807666
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_15.0_ 1x 1_local","2020",FALSE,15.4543230413238,-0.51469969861531,2.50916646307405,-3.22311331756093,15.7127114409984,2.50916646307405,3.13723228531767,0.976207354126131,7.32151348313709,-2.48227826897447,-25.3195736072202,2.27947897049712,2,2,1,-3,-5,15,1,62.5912348469098
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_15.0_ 1x 1_local","2020",FALSE,18.940388703884,-5.19941810874069,5.56596911683699,-21.5387726550549,23.0572231171547,5.56596911683699,6.54267166835856,0.981962465990939,12.6373650269023,-2.94431844258812,-18.8960226817161,5.19941810874156,0,-1,-8,-7,-7,15,1,26.3845792015394
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_15.0_ 1x 1_local","2020",FALSE,5.9556050839982,3.69997108767393,3.71025249404091,164.032422534123,164.488232580599,3.71025249404091,4.04640645554184,0.5039342137413,1.66372405506126,0.0388252980004447,2.38939797521129,3.69997108767384,3,4,4,4,3,15,1,25.3617687781652
"shuffle","2026-06-04_shuffle_2","49NHC","49NHC_shuffle_15.0_ 1x 1_local","2020",FALSE,24.7300023861843,-15.3736991960071,15.4044106596964,-38.3348633404803,38.4114434627076,15.4044106596964,16.0237798594987,0.728426410417905,5.59890047434238,-0.866209775601305,-13.3982212539817,15.3785296876028,-13,-17,-17,-15,-14,15,1,18.4010011633237
"shuffle","2026-06-04_shuffle_2","32TMT","32TMT_shuffle_20.0_ 1x 1_local","2020",FALSE,16.4614849019283,0.485360884563372,5.34749688975024,3.03803903897978,33.4718038238679,5.34749688975024,6.32159621559726,0.864730157465858,4.54418905602291,-5.26053582124948,-53.6530691793662,5.00285435144305,7,6,2,-5,-8,20,1,64.4802222013473
"shuffle","2026-06-04_shuffle_2","33NTG","33NTG_shuffle_20.0_ 1x 1_local","2020",FALSE,16.3270028418955,-7.81280156320295,9.72211697374836,-32.3648088944451,40.2742160234529,9.72211697374836,11.2141007314789,0.950814657421443,8.37943642299584,-7.20224606519839,-46.2225184645837,9.28143269238896,2,2,-12,-14,-14,20,1,25.6171416083972
"shuffle","2026-06-04_shuffle_2","35VML","35VML_shuffle_20.0_ 1x 1_local","2020",FALSE,3.3708712762062,1.11341673424902,1.14802907757406,49.3217787359608,50.8550252612721,1.14802907757406,1.50872346615527,0.840015581530075,1.87401470101356,0.24757236683175,15.2217119309239,1.11343846664356,1,1,1,2,2,20,1,27.7413523594538
