"tile","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"55HEV","",NA,NA,0,512,9.3866237618106,0,0,0,0,1,0,"55HEV_original","2020"
"49UCP","",NA,NA,0,512,4.59779993489084,0,0,0,0,1,0,"49UCP_original","2020"
"49NHC","",NA,NA,0,512,38.9204025315097,0,0,0,0,1,0,"49NHC_original","2020"
"35VML","",NA,NA,0,512,4.78289166632154,0,0,0,0,1,0,"35VML_original","2020"
"34UFD","",NA,NA,0,512,4.44026268841594,0,0,0,0,1,0,"34UFD_original","2020"
"33NTG","",NA,NA,0,512,22.1941052873915,0,0,0,0,1,0,"33NTG_original","2020"
"32UQU","",NA,NA,0,512,7.94713946280799,0,0,0,0,1,0,"32UQU_original","2020"
"32TMT","",NA,NA,0,512,16.750751428143,0,0,0,0,1,0,"32TMT_original","2020"
"20MMD","",NA,NA,0,512,31.5856995412328,0,0,0,0,1,0,"20MMD_original","2020"
"17SNB","",NA,NA,0,512,16.7566610074356,0,0,0,0,1,0,"17SNB_original","2020"
"10TES","",NA,NA,0,512,20.5483056039941,0,0,0,0,1,0,"10TES_original","2020"
"10TES","",NA,NA,10,512,23.1295567091706,2.58125110517655,2.74190068173135,20.1295308304095,21.122450950107,0.948988109177775,2.60098155530436,"10TES_shuffle10_local-512","2020"
"17SNB","",NA,NA,10,512,20.1743387324498,3.41767772501427,4.21761175053968,23.1238771350999,27.2660282085113,0.6559800390725,4.90450483084652,"17SNB_shuffle10_local-512","2020"
"20MMD","",NA,NA,10,512,33.8697341490454,2.28403460781263,2.52872296431324,8.21643497596751,8.92643879896303,0.87200790852602,2.68483712591117,"20MMD_shuffle10_local-512","2020"
"32TMT","",NA,NA,10,512,18.1306661708905,1.3799147427475,3.18424450135811,22.3504204297054,30.099606450021,0.94592138688106,3.69548439972204,"32TMT_shuffle10_local-512","2020"
"32UQU","",NA,NA,10,512,12.0190187511112,4.07187928830318,4.24162981351381,64.1077622763142,66.5000157946123,0.909093070902165,2.87702716129298,"32UQU_shuffle10_local-512","2020"
"33NTG","",NA,NA,10,512,19.0149686983185,-3.17913658907301,5.38550404431648,19.1361928938446,50.9703923234118,0.965708065478751,5.4360166938481,"33NTG_shuffle10_local-512","2020"
"34UFD","",NA,NA,10,512,7.23827999703942,2.79801730862348,3.02702437561478,70.2254730278046,75.1695308032479,0.840241674226336,2.31764159736609,"34UFD_shuffle10_local-512","2020"
"35VML","",NA,NA,10,512,4.82327517324156,0.040383506920023,1.32085239010632,8.20041719345736,32.7895882291454,0.626943257635141,1.73879379105321,"35VML_shuffle10_local-512","2020"
"49NHC","",NA,NA,10,512,36.5428764509324,-2.37752608057732,4.08272296648938,-6.50343060490242,11.82993373917,0.77061778230271,4.8428344328003,"49NHC_shuffle10_local-512","2020"
"49UCP","",NA,NA,10,512,6.05160708962195,1.45380715473111,2.3235988409217,67.1218660230062,75.5097833161674,0.851027667059156,2.66747638628623,"49UCP_shuffle10_local-512","2020"
"55HEV","",NA,NA,10,512,10.7075120706998,1.32088830888922,3.98166425477651,51.4910297832452,67.4326685763196,0.881096977495137,4.51803023762799,"55HEV_shuffle10_local-512","2020"
"10TES","",NA,NA,20,512,23.418232452998,2.86992684900391,3.27359091039195,22.1092672568478,23.9774001410903,0.914499309990168,3.29365004575753,"10TES_shuffle20_local-512","2020"
"17SNB","",NA,NA,20,512,20.8714964572164,4.1148354497808,5.92768424810491,24.7811632890826,34.7738921087382,0.447318205008055,6.71079703508015,"17SNB_shuffle20_local-512","2020"
"20MMD","",NA,NA,20,512,34.4939476915707,2.9082481503379,3.1572796686435,9.62147441512758,10.4373482452073,0.864589903234457,2.54263740351752,"20MMD_shuffle20_local-512","2020"
"32TMT","",NA,NA,20,512,18.8837548231009,2.13300339495792,4.6462479107233,28.4534692681398,38.6992924988056,0.883655654965084,5.20347120986549,"32TMT_shuffle20_local-512","2020"
