"tile","band","increment","decrease","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"35VML","B02",0,"True",2.67165401938742,0,0,0,0,1,0,"35VML_original","2020"
"20MMD","B02",0,"True",29.7890053054178,0,0,0,0,1,0,"20MMD_original","2020"
"20MMD","B02",0.05,"False",32.735566593253,2.94656128783521,2.97927300824307,9.69280338648774,9.98972718928937,0.931250485772407,1.78151945961943,"20MMD_B02_05_I","2020"
"35VML","B02",0.05,"False",3.06979203615264,0.398138016765217,0.511810046619485,13.9452879526502,21.4706522364811,0.945051613107875,0.688013200920512,"35VML_B02_05_I","2020"
"20MMD","B03",0.05,"False",30.029311845855,0.240306540437205,1.10151293334149,0.794518226917125,4.08981927026476,0.952967064642667,1.48615529716473,"20MMD_B03_05_I","2020"
"35VML","B03",0.05,"False",3.93440151956905,1.26274750018163,1.54758675143488,46.7684449983616,63.4524457628383,0.713255828371507,1.45293333664703,"35VML_B03_05_I","2020"
"20MMD","B04",0.05,"False",30.8579714531884,1.06896614777061,1.85569550245452,4.1888274678605,6.72612521857822,0.897279266055797,2.18523398991671,"20MMD_B04_05_I","2020"
"35VML","B04",0.05,"False",2.76364900550638,0.0919949861189549,0.337504688111558,7.6484473321434,17.0322122152415,0.946186783538486,0.602156941065661,"35VML_B04_05_I","2020"
"20MMD","B05",0.05,"False",33.4202094097366,3.63120410431883,3.65504633093746,11.888891111581,12.0413186108252,0.926469488796646,1.83516037083169,"20MMD_B05_05_I","2020"
"35VML","B05",0.05,"False",2.716614776469,0.0449607570815762,0.502095825467186,18.4832218438909,35.5701587470264,0.922828509251446,0.755240784000446,"35VML_B05_05_I","2020"
"20MMD","B08",0.05,"False",28.925571192093,-0.863434113324818,1.58661835078831,-2.75470179398001,5.73214854601501,0.934075654290147,1.74118076036425,"20MMD_B08_05_I","2020"
"35VML","B08",0.05,"False",3.84854803934185,1.17689401995442,1.43988271614202,43.8757998092817,60.5182689931565,0.794002559610576,1.38868753575225,"35VML_B08_05_I","2020"
"20MMD","B8A",0.05,"False",34.6855338479789,4.89652854256111,4.94274173371433,15.4306277956356,15.9635296750555,0.886968683282425,2.28747378637081,"20MMD_B8A_05_I","2020"
"35VML","B8A",0.05,"False",4.50651686457546,1.83486284518803,1.9278007102767,65.4202214209572,68.0025866407704,0.655579597625242,1.45834309818687,"35VML_B8A_05_I","2020"
"20MMD","B11",0.05,"False",32.8210020720616,3.03199676664379,3.12145547201117,9.77110366527196,10.4456698005193,0.922504887224796,1.9327656555425,"20MMD_B11_05_I","2020"
"35VML","B11",0.05,"False",3.00079283535887,0.329138815971442,0.459105339704163,17.175072669138,23.8615007440544,0.945859086400544,0.630104489672374,"35VML_B11_05_I","2020"
"20MMD","B12",0.05,"False",31.6706622846284,1.88165697921054,2.00682175152963,6.08458670446886,6.80612671696226,0.965759237465556,1.3176609812518,"20MMD_B12_05_I","2020"
"35VML","B12",0.05,"False",5.59800047077836,2.92634645139093,3.05864164234757,73.4798596456035,80.9146111268097,0.539042381966592,2.2374531017378,"35VML_B12_05_I","2020"
"20MMD","B02",0.05,"True",35.5609030011473,5.77189769572948,5.80911749611082,18.0843739649283,18.3832691832769,0.882454318461386,2.32277563593033,"20MMD_B02_05_D","2020"
"35VML","B02",0.05,"True",5.05006690935322,2.37841288996579,2.42863593639997,72.7214482601524,74.9903131076938,0.693576199860317,1.64381931549413,"35VML_B02_05_D","2020"
"20MMD","B03",0.05,"True",33.5817600822357,3.79275477681791,3.86254566544748,12.4210976201169,12.7880817231671,0.898135157359202,2.15032324964102,"20MMD_B03_05_D","2020"
"35VML","B03",0.05,"True",5.27635457031572,2.60470055092829,2.68337583089528,74.2517127810234,77.7784681818956,0.608860615568635,1.86750427828891,"35VML_B03_05_D","2020"
"20MMD","B04",0.05,"True",34.1801639313931,4.39115862597529,4.41318486919976,14.5774273734767,14.7182853029285,0.866723056444413,2.43514592979204,"20MMD_B04_05_D","2020"
"35VML","B04",0.05,"True",3.60425839061357,0.932604371226146,1.30860504222909,37.4227475610445,59.7760840424851,0.76369435126128,1.36640852575007,"35VML_B04_05_D","2020"
"20MMD","B05",0.05,"True",31.8496079651442,2.06060265972635,2.44929168030011,7.30792207569823,8.63501692129127,0.867455001502869,2.41912260265161,"20MMD_B05_05_D","2020"
"35VML","B05",0.05,"True",4.20545399417581,1.53379997478838,1.75141521305735,56.4854308037251,64.2815813706642,0.657230578268559,1.52926879093149,"35VML_B05_05_D","2020"
"20MMD","B08",0.05,"True",28.1473884539613,-1.64161685145647,1.64470949216239,-5.75853667948695,5.80347722571663,0.991663943020643,0.628025363006701,"20MMD_B08_05_D","2020"
"35VML","B08",0.05,"True",4.80631488222261,2.13466086283518,2.29866264419968,65.0079779781003,72.4428662420687,0.669574772848394,1.78803180859164,"35VML_B08_05_D","2020"
"20MMD","B8A",0.05,"True",33.3698321181717,3.58082681275387,3.62688877057956,11.688039927175,11.9685060954092,0.915742333956132,1.96606403567114,"20MMD_B8A_05_D","2020"
"35VML","B8A",0.05,"True",5.64278579324919,2.97113177386176,3.0374009705927,80.1991746759941,82.2773186362478,0.502300948478306,1.98882177236498,"35VML_B8A_05_D","2020"
"20MMD","B11",0.05,"True",32.644395482569,2.85539017715118,2.89110026121211,9.50990025552178,9.70258014075877,0.943374013889118,1.61517580106996,"20MMD_B11_05_D","2020"
"35VML","B11",0.05,"True",5.44896409482375,2.77731007543633,2.88031176412275,75.121022559268,79.0936980646331,0.577091015968873,2.08189162570516,"35VML_B11_05_D","2020"
"20MMD","B12",0.05,"True",35.0638598852307,5.27485457981288,5.32434803234156,16.2301046256721,16.8184291692691,0.91953260947715,2.07386841132328,"20MMD_B12_05_D","2020"
"35VML","B12",0.05,"True",5.70063289887446,3.02897887948704,3.09341509753107,77.7987012518098,80.8107352349217,0.598090358566545,2.15084980283995,"35VML_B12_05_D","2020"
"20MMD","B02",0.1,"False",33.2040514296658,3.41504612424802,3.51117103067521,11.6718174064404,12.0981213378004,0.764174236890195,3.13162040863096,"20MMD_B02_10_I","2020"
"35VML","B02",0.1,"False",6.09072296729766,3.41906894791023,3.511667298529,81.5590323662501,85.7475178765828,0.523164137620519,2.33198316667737,"35VML_B02_10_I","2020"
"20MMD","B03",0.1,"False",29.3259843376079,-0.463020967809954,1.4050448641092,-1.46306172149645,5.241398650623,0.928906856697178,1.80136809675128,"20MMD_B03_10_I","2020"
"35VML","B03",0.1,"False",5.69162953325397,3.01997551386654,3.09538985342172,79.1880081097269,82.0820753390316,0.479778266080534,2.13726016048644,"35VML_B03_10_I","2020"
"20MMD","B04",0.1,"False",33.7968388017413,4.00783349632351,4.10148606371469,13.1877123002914,13.8437207008487,0.783929975534817,3.02121426604765,"20MMD_B04_10_I","2020"
"35VML","B04",0.1,"False",4.58940357382669,1.91774955443927,2.2282106177339,59.9356105096537,70.8376955111336,0.586173760928863,1.99896301673695,"35VML_B04_10_I","2020"
"20MMD","B05",0.1,"False",34.6144022949862,4.82539698956835,4.86676911406407,15.588043646706,15.9830160421646,0.77830881371256,3.06775779592034,"20MMD_B05_10_I","2020"
"35VML","B05",0.1,"False",3.1834824481292,0.511828428741772,1.16467811956104,24.7040423689146,59.8433136294875,0.715427681907483,1.39096747325784,"35VML_B05_10_I","2020"
"20MMD","B08",0.1,"False",30.5607244481434,0.771719142725557,1.33328735882403,2.39146277869716,4.93597616213204,0.921174182956134,1.93489078235611,"20MMD_B08_10_I","2020"
"35VML","B08",0.1,"False",5.07257805575714,2.40092403636971,2.54252766405381,69.8609196873566,76.2185090951439,0.64950232400303,1.92209470888224,"35VML_B08_10_I","2020"
"20MMD","B8A",0.1,"False",32.9394862750713,3.15048096965349,3.1879651658291,9.91420299563031,10.2281007972464,0.978684020877613,1.17634779025079,"20MMD_B8A_10_I","2020"
"35VML","B8A",0.1,"False",5.62591623853104,2.95426221914362,3.00721142307983,80.912748444652,82.2627080791238,0.424425586359773,2.01267070388041,"35VML_B8A_10_I","2020"
"20MMD","B11",0.1,"False",29.822287797039,0.0332824916211603,1.1345283288709,0.683201609871889,4.21145798389217,0.953359894871949,1.56171299662416,"20MMD_B11_10_I","2020"
"35VML","B11",0.1,"False",4.84368806696145,2.17203404757402,2.23534943697862,69.6942944961949,72.2581503755509,0.66813443884582,1.5550159722523,"35VML_B11_10_I","2020"
"20MMD","B12",0.1,"False",31.2200665356633,1.43106123024553,1.67355377817456,4.95945170032231,5.95103020427725,0.946475928386807,1.56633588314737,"20MMD_B12_10_I","2020"
"35VML","B12",0.1,"False",6.74227598801896,4.07062196863154,4.17139008151537,84.9308063534935,91.0880148588141,0.518619535449889,2.85427605706488,"35VML_B12_10_I","2020"
"20MMD","B02",0.1,"True",32.1492142050983,2.36020889968045,2.57229013062939,8.6886007736822,9.35381845456557,0.854476586066212,2.62690798050761,"20MMD_B02_10_D","2020"
"35VML","B02",0.1,"True",4.49789854338972,1.82624452400229,1.91966557630538,62.8624710443009,66.7096087288587,0.740730021616048,1.50866233974259,"35VML_B02_10_D","2020"
"20MMD","B03",0.1,"True",32.0840312657778,2.29502596035997,2.63437691218983,7.27115816015461,8.8817914845606,0.923521949402561,2.0478027163458,"20MMD_B03_10_D","2020"
"35VML","B03",0.1,"True",5.46601974541371,2.79436572602628,2.85617000881482,77.359876575618,79.7720344685078,0.509192781295552,1.90973050473975,"35VML_B03_10_D","2020"
"20MMD","B04",0.1,"True",28.2453455789046,-1.5436597265132,2.19401262372405,-4.33989788476912,7.84302197432796,0.943166915262601,2.00799935980534,"20MMD_B04_10_D","2020"
"35VML","B04",0.1,"True",4.98148725183638,2.30983323244895,2.54195856723266,67.6018579370168,75.3019479498829,0.533365350599887,2.06440534519382,"35VML_B04_10_D","2020"
"20MMD","B05",0.1,"True",34.7676324925129,4.97862718709511,5.00671711500217,15.9204276501248,16.3165467991194,0.835067784066946,2.68500921351762,"20MMD_B05_10_D","2020"
"35VML","B05",0.1,"True",4.23542089424272,1.5637668748553,1.78100993987372,57.1736356336339,65.1513751307015,0.656805173785188,1.52805513896402,"35VML_B05_10_D","2020"
"20MMD","B08",0.1,"True",32.8917730936692,3.10276778825134,3.22661361526662,9.92386066919684,10.9265818787261,0.911638320446841,2.03209792355695,"20MMD_B08_10_D","2020"
"35VML","B08",0.1,"True",3.13379457295949,0.462140553572065,0.898691621007944,19.4473288774157,44.1834431431391,0.826220489160655,1.15420498995789,"35VML_B08_10_D","2020"
"20MMD","B8A",0.1,"True",31.862777724346,2.07377241892815,2.37820232362265,6.72849972527003,8.24531431265341,0.921616026037017,1.95509172910821,"20MMD_B8A_10_D","2020"
"35VML","B8A",0.1,"True",5.12986802958453,2.4582140101971,2.51510009514043,76.641591562946,77.8564813285953,0.531362976454628,1.69706924004848,"35VML_B8A_10_D","2020"
"20MMD","B11",0.1,"True",31.1208918932569,1.33188658783909,1.500806847221,4.13902272948813,5.06774349095154,0.972325793887235,1.29865170295411,"20MMD_B11_10_D","2020"
"35VML","B11",0.1,"True",5.38641013952687,2.71475612013945,2.81696543579403,73.2332078230372,78.240592937206,0.565408882645675,2.0421108098283,"35VML_B11_10_D","2020"
