"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","Colour","time_min"
"spectral","2026-06-18_spectral_g21b","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,"B02",0,"False","Blue",15.9951672554016
"spectral","2026-06-18_spectral_g21b","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,"B02",0,"False","Blue",11.9083989977837
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,"B02",0,"False","Blue",25.2346972783407
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_spectral_B02_I_5","2020",FALSE,10.5572457440413,1.12481610621016,1.16860251688643,11.9249880401843,12.3891994083842,1.16860251688643,1.629317643557,0.995830529689237,9.39885010419917,0.84810843707945,9.91853654450458,"B02",0.05,"False","Blue",25.061697045962
"spectral","2026-06-18_spectral_g21b","55HEV","55HEV_spectral_B02_I_5","2020",FALSE,7.49703283389996,2.04337177939319,2.04732699785017,37.4678909996542,37.54041509709,2.04732699785017,2.96931351721916,0.978303426449256,7.45137635152106,1.66442461362984,28.7616812618583,"B02",0.05,"False","Blue",10.6015178402265
"spectral","2026-06-18_spectral_g21b","34UFD","34UFD_spectral_B02_I_5","2020",FALSE,4.07043882583613,0.26419888891257,0.477575036008053,6.94120426696253,12.5471605553605,0.477575036008053,0.827632053288424,0.973734672885633,3.4380574622104,0.139324880445582,4.22358821129547,"B02",0.05,"False","Blue",14.142623257637
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_spectral_B03_I_5","2020",FALSE,9.65632760208934,0.223897964258203,0.531405007378243,2.3737040492749,5.63380833764091,0.531405007378243,0.930839546134669,0.994404868501911,8.48185754136866,-0.0688841257510635,-0.805592408620466,"B03",0.05,"False","Green",23.4194837768873
"spectral","2026-06-18_spectral_g21b","55HEV","55HEV_spectral_B03_I_5","2020",FALSE,6.25023662044561,0.796575565938842,0.962679194481206,14.6062536336132,17.6519806577578,0.962679194481206,1.38295946931084,0.980854049444704,5.76542969147047,-0.0215220464207473,-0.371906443937097,"B03",0.05,"False","Green",11.0997898260752
"spectral","2026-06-18_spectral_g21b","34UFD","34UFD_spectral_B03_I_5","2020",FALSE,4.66433410994055,0.858094173016989,0.944856224799172,22.5444056926835,24.8238744918131,0.944856224799172,1.36897445526083,0.967828071137573,3.86257750751339,0.56384492574857,17.0927746270027,"B03",0.05,"False","Green",13.6297477881114
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_spectral_B04_I_5","2020",FALSE,9.35526707523649,-0.0771625625946513,0.527886656719205,-0.818056063574239,5.59650776086346,0.527886656719205,0.797464186427905,0.996166203842729,8.7833883951142,0.232646727994478,2.7207783494276,"B04",0.05,"False","Red",24.0631043314934
"spectral","2026-06-18_spectral_g21b","55HEV","55HEV_spectral_B04_I_5","2020",FALSE,5.73813165948839,0.284470604981623,0.446023210564802,5.21614016966719,8.17841824247988,0.446023210564802,0.828164050514636,0.994418853957083,6.23648733068344,0.449535592792222,7.76808954269996,"B04",0.05,"False","Red",10.9743623375893
"spectral","2026-06-18_spectral_g21b","34UFD","34UFD_spectral_B04_I_5","2020",FALSE,3.60986134409407,-0.196378592829494,0.379173757428522,-5.15938553753444,9.96189845391075,0.379173757428522,0.651540915073904,0.982328076763899,3.171586912987,-0.127145668777824,-3.85437939045671,"B04",0.05,"False","Red",13.5105639696121
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_spectral_B05_I_5","2020",FALSE,8.76102414636707,-0.671405491464069,0.914784813296851,-7.11805459720822,9.69829459027053,0.914784813296851,1.40042459339222,0.994717903520742,7.64531959993354,-0.905422067186186,-10.5888132566069,"B05",0.05,"False","RedEdge",28.194500875473
"spectral","2026-06-18_spectral_g21b","55HEV","55HEV_spectral_B05_I_5","2020",FALSE,4.94526055957161,-0.508400494935156,0.535384733431146,-9.32218723998307,9.81697850453537,0.535384733431146,0.873659190876127,0.993835377277184,5.44600663072978,-0.34094510716144,-5.89161829239104,"B05",0.05,"False","RedEdge",13.3464342276255
"spectral","2026-06-18_spectral_g21b","34UFD","34UFD_spectral_B05_I_5","2020",FALSE,3.56756556128322,-0.238674375640342,0.513989226252149,-6.27060772824671,13.5038577380802,0.513989226252149,0.883793060292067,0.974867815466875,2.78683026108599,-0.511902320678832,-15.518151532155,"B05",0.05,"False","RedEdge",16.2870119094849
"spectral","2026-06-18_spectral_g21b","32UQU","32UQU_spectral_B08_I_5","2020",FALSE,9.27943169154536,-0.152997946285781,0.898165288769479,-1.62204174491951,9.52209900582942,0.898165288769479,1.36735224668502,0.987294904160166,8.45534029527318,-0.0954013718465383,-1.11570873686181,"B08",0.05,"False","NIR",22.5824478586515
