"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_differece_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"17SNB","B03",0.05,"False",2.42984416964399,2.85269216940527,11.017362013124,13.9355306613373,0.916278296919244,2.58650759275603,"17SNB_B03_05_I",2020
"20MMD","B03",0.05,"False",-1.20329308490853,1.72617247245348,-4.05941231253645,5.72845378144398,0.921041508625193,2.10760696962346,"20MMD_B03_05_I",2020
"10TES","B02",0.25,"False",3.86486508816341,3.91867037980694,24.022309262945,24.4078336122838,0.963638729689252,2.11158024344761,"10TES_B02_25_I",2020
"17SNB","B02",0.25,"False",7.96362879315787,8.0048980355797,33.8499733638418,34.0581871711499,0.800074450270994,3.78446499090417,"17SNB_B02_25_I",2020
"20MMD","B02",0.25,"False",5.83542363114774,5.84976393772761,15.9045637991973,15.9542994474706,0.93034324748657,1.59401060132919,"20MMD_B02_25_I",2020
"10TES","B03",0.25,"False",1.59447981753105,1.7689382657788,15.2240065751856,16.0701359768061,0.972041112560746,1.93718679979563,"10TES_B03_25_I",2020
"17SNB","B03",0.25,"False",1.96925194798946,2.88941873153627,9.83707203426414,15.601014737916,0.828342171239043,3.48439207581636,"17SNB_B03_25_I",2020
"20MMD","B03",0.25,"False",-12.7269908723321,12.7491497203102,-45.3778187146603,45.7746034265023,0.72841134458906,3.1006678464554,"20MMD_B03_25_I",2020
"10TES","B04",0.25,"False",-6.8944038126759,7.1716158013532,-43.5557947846217,52.6802078314033,0.733605213427329,5.87903730198004,"10TES_B04_25_I",2020
"17SNB","B04",0.25,"False",-1.39800872793494,3.59707045418379,-7.09761330618306,19.8255126799035,0.716953902087928,4.53568756403363,"17SNB_B04_25_I",2020
"20MMD","B04",0.25,"False",-2.78209627804642,3.07533468968298,-7.73377390825595,9.62715578426376,0.908216496605505,1.84036628480449,"20MMD_B04_25_I",2020
"10TES","B08",0.25,"False",0.343965373006183,3.7172794093604,7.99866637072535,26.5714064963755,0.764856226737254,5.02246867554615,"10TES_B08_25_I",2020
"17SNB","B08",0.25,"False",4.57515380463389,4.85110782713296,20.1191880513521,22.5628416240657,0.857354227285264,3.37874785334741,"17SNB_B08_25_I",2020
"20MMD","B08",0.25,"False",-11.5746809598001,11.6119962975251,-40.2766265098966,40.8008414659075,0.732203420262064,3.00841086122204,"20MMD_B08_25_I",2020
"10TES","B02",0.25,"True",5.30669592277918,5.34363453305717,28.5108570381604,28.9275788630091,0.946752930373856,2.72111867139979,"10TES_B02_25_D",2020
"17SNB","B02",0.25,"True",5.29351843101189,5.9547050628636,23.9867547231558,27.0605132664784,0.710769482867462,4.4926790075921,"17SNB_B02_25_D",2020
"20MMD","B02",0.25,"True",-0.405570974293197,1.37023444323966,-1.23008129998907,4.5413790819807,0.897628567278506,2.06625198134987,"20MMD_B02_25_D",2020
"10TES","B03",0.25,"True",1.53688526508596,1.97228644586961,15.9717545684797,17.87594439743,0.953803140806085,2.63223138428981,"10TES_B03_25_D",2020
"17SNB","B03",0.25,"True",4.58858085330281,4.94784616514897,20.3095907481826,22.7822816606699,0.836155426178624,3.62446693948316,"17SNB_B03_25_D",2020
"20MMD","B03",0.25,"True",-9.94665067978791,9.96717832812187,-34.9223964167356,35.2967596905612,0.719760861818424,3.91277089023363,"20MMD_B03_25_D",2020
"10TES","B04",0.25,"True",-6.99144570432736,7.23428437554923,-44.6705244261403,52.9574426245005,0.754698018712642,5.63244350462712,"10TES_B04_25_D",2020
"17SNB","B04",0.25,"True",-1.26029691508107,2.45260771227847,-7.48527266383458,15.0273468458643,0.892135927917767,2.93908709250924,"17SNB_B04_25_D",2020
"20MMD","B04",0.25,"True",-1.73618744992295,2.29465507361007,-4.31344501170853,7.39756518533517,0.894413292469164,2.10019059545,"20MMD_B04_25_D",2020
"10TES","B08",0.25,"True",1.52516937684656,3.18506190186655,12.0757482386537,23.6432350574168,0.841368143393326,4.26270369156043,"10TES_B08_25_D",2020
"17SNB","B08",0.25,"True",0.103287579157077,3.01087854900041,-0.0555844907022351,16.4067030539446,0.804929390935047,3.97968667498341,"17SNB_B08_25_D",2020
"20MMD","B08",0.25,"True",-11.4829877894031,11.5070491091762,-39.9228379213236,40.3242842296315,0.774599363633168,2.75782925385477,"20MMD_B08_25_D",2020
"10TES","B03",0.1,"True",-0.336207968300891,1.28231675649432,2.58409537353126,10.4037774105029,0.979947846518184,1.6856920767603,"10TES_B03_10_D",2020
"17SNB","B03",0.1,"True",3.7593896254277,3.77214887102506,17.8341004754579,17.9470858692466,0.900905241343429,2.61228233606094,"17SNB_B03_10_D",2020
"20MMD","B03",0.1,"True",-3.38005419176224,3.62230890601172,-11.0853188840697,11.9258130475111,0.840370757598229,3.02708490956244,"20MMD_B03_10_D",2020
"10TES","B04",0.1,"True",-0.651589748538532,1.23786114232447,-4.72264904294749,10.1900508161617,0.978481214938549,1.76225850875975,"10TES_B04_10_D",2020
"17SNB","B04",0.1,"True",-1.21648856922326,2.01554740367887,-7.14986695945566,11.8646102695719,0.931166258610013,2.34171131115452,"17SNB_B04_10_D",2020
"20MMD","B04",0.1,"True",-2.25528153594172,2.51998347066583,-6.36235843563651,7.68634447474001,0.937211373092829,1.54130919797605,"20MMD_B04_10_D",2020
"10TES","B08",0.1,"True",1.85330997303052,2.01039501814142,13.2869530326593,14.9919386673948,0.978878023618942,1.6015424868873,"10TES_B08_10_D",2020
"17SNB","B08",0.1,"True",4.29768126378238,4.35408152518373,19.4202887869944,19.909548311234,0.911089444462637,2.64910524086411,"17SNB_B08_10_D",2020
"20MMD","B08",0.1,"True",-5.46545591830048,5.5064803810117,-17.3378886967519,17.8683872733058,0.872660721891023,2.18148739965933,"20MMD_B08_10_D",2020
"10TES","B02",0.15,"False",2.31987082525485,2.38131178218839,15.3307266837134,15.8693950199198,0.98028248407471,1.57695859879303,"10TES_B02_15_I",2020
"17SNB","B02",0.15,"False",6.58142538333129,6.5887960027203,29.399118592558,29.444128629214,0.860920187355529,3.01471798654074,"17SNB_B02_15_I",2020
