"mode","run","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","shift_distance","time_min"
"geographical","2026-06-16_geographical_1","55HEV","55HEV_original","2020",TRUE,5.45366105450677,0,0,0,0,0,0,1,5.78695173789122,0,0,0,11.2860427061717
"geographical","2026-06-16_geographical_1","49UCP","49UCP_original","2020",TRUE,2.4560742805924,0,0,0,0,0,0,1,3.82757996727561,0,0,0,8.99325678348541
"geographical","2026-06-16_geographical_1","49NHC","49NHC_original","2020",TRUE,40.1037015821913,0,0,0,0,0,0,1,6.46511024994368,0,0,0,6.78527238766352
"geographical","2026-06-16_geographical_1","35VML","35VML_original","2020",TRUE,2.67966823635012,0,0,0,0,0,0,1,1.84453853359372,0,0,0,8.91937926610311
"geographical","2026-06-16_geographical_1","34UFD","34UFD_original","2020",TRUE,3.80623993692356,0,0,0,0,0,0,1,3.29873258176482,0,0,0,13.3311699231466
"geographical","2026-06-16_geographical_1","33NTG","33NTG_original","2020",TRUE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,8.88028408288956
"geographical","2026-06-16_geographical_1","32UQU","32UQU_original","2020",TRUE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,21.5947408636411
"geographical","2026-06-16_geographical_1","32TMT","32TMT_original","2020",TRUE,15.9918825074558,0,0,0,0,0,0,1,9.76509679218125,0,0,0,21.8467636704445
"geographical","2026-06-16_geographical_1","20MMD","20MMD_original","2020",TRUE,31.1457616164047,0,0,0,0,0,0,1,5.18768663824733,0,0,0,4.71414289474487
"geographical","2026-06-16_geographical_1","17SNB","17SNB_original","2020",TRUE,14.7435625246118,0,0,0,0,0,0,1,5.06927685142209,0,0,0,4.5524756749471
"geographical","2026-06-16_geographical_1","10TES","10TES_original","2020",TRUE,21.6535428058439,0,0,0,0,0,0,1,8.32633410923009,0,0,0,26.3680521527926
"geographical","2026-06-16_geographical_1","10TES","10TES_geographical_100_N","2020",FALSE,21.1914043139493,-0.462138491894542,0.46315480029522,-2.13423963015336,2.13893312723969,0.46315480029522,0.681207311195563,0.998287707170815,8.19694420620946,-0.12938990302063,-1.55398403815187,100,26.2364444772402
"geographical","2026-06-16_geographical_1","17SNB","17SNB_geographical_100_N","2020",FALSE,14.5739371418315,-0.169625382780273,0.224833157475814,-1.15050472026088,1.52495814427818,0.224833157475814,0.474346389337013,0.996328711538243,4.96183071489708,-0.107446136525018,-2.11955550415196,100,4.65099510351817
"geographical","2026-06-16_geographical_1","20MMD","20MMD_geographical_100_N","2020",FALSE,31.381249709343,0.235488092938237,0.244176600122113,0.756083912278463,0.783980186869161,0.244176600122113,0.494201247680058,0.996528489122047,5.21714663473737,0.0294599964900373,0.567883115237476,100,4.60125004053116
"geographical","2026-06-16_geographical_1","32TMT","32TMT_geographical_100_N","2020",FALSE,15.9547700074758,-0.0371124999799903,0.209191190006832,-0.232070864469444,1.30810859765448,0.209191190006832,0.457384617290491,0.999070436722797,9.93101895676899,0.165922164587748,1.69913486900201,100,21.8466748197873
"geographical","2026-06-16_geographical_1","32UQU","32UQU_geographical_100_N","2020",FALSE,9.07733467430989,-0.355094963521244,0.360319353391442,-3.76461820713771,3.82000573793087,0.360319353391442,0.62592084509469,0.999042731344056,8.18791603107148,-0.362825636048242,-4.24320661497026,100,21.8801470756531
"geographical","2026-06-16_geographical_1","33NTG","33NTG_geographical_100_N","2020",FALSE,22.5063626188346,0.226370194149613,0.228824347068036,1.01602455617897,1.02703960892963,0.228824347068036,0.478361041643824,0.999662416182921,15.8286136173652,0.0972918106477891,0.61845922321826,100,9.04984796047211
