"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","band","increment","decrease","Colour","time_min"
"spectral","49NHC","49NHC_original","2020",TRUE,39.8455415700738,0,0,0,0,0,0,1,6.80880486531183,0,0,"c(""B03"", ""B04"")",0,"False","Green-Red",5.84688612222672
"spectral","49NHC","49NHC_spectral_B03-B04_I_15","2020",FALSE,34.8780640780239,-4.96747749204986,5.18638668357579,-12.4668339199603,13.0162283638555,5.18638668357579,5.83312133519539,0.89695421685829,6.64325711134311,-0.165547753968715,-2.43137756542437,"c(""B03"", ""B04"")",0.15,"False","Green-Red",5.75091744661331
"spectral","49NHC","49NHC_spectral_B03-B04_D_15","2020",FALSE,36.321957669366,-3.52358390070778,4.13210601396009,-8.84310706258336,10.370309578283,4.13210601396009,5.07154203211054,0.863643997459501,7.1148797225188,0.306074857206975,4.4952802035245,"c(""B03"", ""B04"")",0.15,"True","Green-Red",5.48341239690781
